Time_ms,TargetRotX,TargetRotY,LeftRotX,LeftRotY,LeftRotZ,LeftRotW,LeftConfidence,RightRotX,RightRotY,RightRotZ,RightRotW,RightConfidence
173829,0.00,0.00,0.06947,0.01095,-0.00035,0.99752,-0.12485,-0.00810,-0.00102,0.99214,-0.05563,0.00289,-0.00056,0.99845,1.00,-0.12461,-0.03579,-0.00450,0.99155,-0.05547,-0.02449,-0.00596,0.99814,1.00
173843,0.00,0.00,0.06907,0.01058,0.00126,0.99755,-0.12446,-0.00743,-0.00093,0.99220,-0.05562,0.00299,0.00113,0.99845,1.00,-0.12431,-0.03512,-0.00440,0.99161,-0.05552,-0.02440,-0.00425,0.99815,1.00
173857,0.00,0.00,0.06860,0.01020,0.00259,0.99759,-0.12811,-0.00816,-0.00105,0.99173,-0.05976,0.00171,0.00226,0.99821,1.00,-0.12792,-0.03589,-0.00463,0.99112,-0.05957,-0.02571,-0.00321,0.99789,1.00
173871,0.00,0.00,0.06845,0.01012,0.00334,0.99760,-0.12796,-0.00793,-0.00102,0.99175,-0.05975,0.00176,0.00304,0.99821,1.00,-0.12781,-0.03566,-0.00460,0.99115,-0.05959,-0.02566,-0.00243,0.99789,1.00
173885,0.00,0.00,0.06861,0.01021,0.00350,0.99759,-0.12812,-0.00800,-0.00103,0.99173,-0.05975,0.00177,0.00320,0.99821,1.00,-0.12799,-0.03573,-0.00461,0.99112,-0.05960,-0.02565,-0.00228,0.99789,1.00
173898,0.00,0.00,0.06871,0.01047,0.00330,0.99758,-0.12992,-0.00542,-0.00071,0.99151,-0.06146,0.00460,0.00355,0.99809,1.00,-0.12968,-0.03318,-0.00434,0.99099,-0.06121,-0.02285,-0.00199,0.99786,1.00
173912,0.00,0.00,0.06834,0.01044,0.00389,0.99760,-0.12954,-0.00528,-0.00069,0.99156,-0.06146,0.00463,0.00416,0.99809,1.00,-0.12934,-0.03303,-0.00431,0.99104,-0.06122,-0.02281,-0.00135,0.99786,1.00
173926,0.00,0.00,0.06747,0.01021,0.00514,0.99766,-0.13373,-0.00511,-0.00069,0.99101,-0.06653,0.00438,0.00543,0.99776,1.00,-0.13350,-0.03291,-0.00444,0.99049,-0.06624,-0.02311,-0.00019,0.99754,1.00
173940,0.00,0.00,0.06678,0.01012,0.00657,0.99769,-0.13305,-0.00473,-0.00064,0.99110,-0.06653,0.00448,0.00690,0.99775,1.00,-0.13291,-0.03253,-0.00436,0.99059,-0.06628,-0.02301,0.00132,0.99754,1.00
173954,0.00,0.00,0.06655,0.01019,0.00730,0.99770,-0.13098,-0.00510,-0.00067,0.99137,-0.06467,0.00410,0.00756,0.99787,1.00,-0.13079,-0.03287,-0.00434,0.99086,-0.06435,-0.02336,0.00205,0.99765,1.00
173968,0.00,0.00,0.06669,0.01043,0.00725,0.99769,-0.13112,-0.00535,-0.00071,0.99135,-0.06467,0.00410,0.00749,0.99787,1.00,-0.13093,-0.03312,-0.00438,0.99083,-0.06435,-0.02337,0.00197,0.99765,1.00
