Time_ms,TargetRotY,LeftRotX,LeftRotY,LeftRotZ,LeftRotW,LeftConfidence,RightRotX,RightRotY,RightRotZ,RightRotW,RightConfidence
400275,11.04028,-0.00120,0.01856,0.00467,0.99982,-0.03116,0.00629,0.00020,0.99949,-0.03238,0.02469,0.00544,0.99916,1.00,-0.03108,-0.02082,-0.00065,0.99930,-0.03218,-0.00242,0.00462,0.99947,1.00
400289,11.50609,-0.00210,0.01885,0.00541,0.99981,-0.03105,0.00852,0.00026,0.99948,-0.03319,0.02720,0.00624,0.99906,1.00,-0.03105,-0.01859,-0.00058,0.99934,-0.03305,0.00009,0.00545,0.99944,1.00
400303,11.95393,-0.00313,0.01916,0.00589,0.99979,-0.03001,0.00824,0.00025,0.99952,-0.03317,0.02721,0.00668,0.99906,1.00,-0.03003,-0.01887,-0.00057,0.99937,-0.03305,0.00010,0.00595,0.99944,1.00
400317,12.40509,-0.00389,0.01967,0.00545,0.99978,-0.06434,0.03508,0.00226,0.99731,-0.06835,0.05435,0.00883,0.99614,1.00,-0.06454,0.00787,0.00051,0.99788,-0.06845,0.02714,0.00719,0.99726,1.00
400331,12.83499,-0.00463,0.01992,0.00496,0.99978,-0.06365,0.03475,0.00222,0.99736,-0.06838,0.05431,0.00827,0.99615,1.00,-0.06383,0.00754,0.00048,0.99793,-0.06846,0.02711,0.00667,0.99726,1.00
400345,13.26143,-0.00531,0.02020,0.00494,0.99977,-0.06297,0.03447,0.00218,0.99742,-0.06839,0.05430,0.00819,0.99615,1.00,-0.06315,0.00726,0.00046,0.99798,-0.06846,0.02710,0.00663,0.99726,1.00
400359,13.66757,-0.00609,0.02031,0.00530,0.99976,-0.07233,0.06646,0.00483,0.99515,-0.07863,0.08630,0.01117,0.99310,1.00,-0.07286,0.03937,0.00288,0.99656,-0.07906,0.05922,0.00940,0.99506,1.00
400373,14.06427,-0.00654,0.02045,0.00564,0.99975,-0.07184,0.06636,0.00479,0.99519,-0.07860,0.08632,0.01144,0.99310,1.00,-0.07238,0.03926,0.00285,0.99660,-0.07904,0.05925,0.00969,0.99506,1.00
400387,14.45706,-0.00645,0.02078,0.00550,0.99975,-0.07432,0.07104,0.00531,0.99469,-0.08099,0.09132,0.01186,0.99245,1.00,-0.07492,0.04396,0.00331,0.99621,-0.08149,0.06426,0.01006,0.99455,1.00
400401,14.83441,-0.00598,0.02116,0.00494,0.99975,-0.07487,0.07058,0.00531,0.99468,-0.08104,0.09128,0.01138,0.99246,1.00,-0.07544,0.04350,0.00329,0.99620,-0.08153,0.06422,0.00955,0.99455,1.00
