Time_ms,TargetRotX,TargetRotY,HeadRotX,HeadRotY,HeadRotZ,HeadRotW,LeftLocalRotX,LeftLocalRotY,LeftLocalRotZ,LeftLocalRotW,LeftWorldRotX,LeftWorldRotY,LeftWorldRotZ,LeftWorldRotW,LeftConfidence,RightLocalRotX,RightLocalRotY,RightLocalRotZ,RightLocalRotW,RightWorldRotX,RightWorldRotY,RightWorldRotZ,RightWorldRotW,RightConfidence
0,0.00,0.00,-0.05149,0.03194,0.04784,-0.99702,-0.02709,-0.01983,0.00054,-0.99944,0.07943,-0.01341,-0.04647,0.99567,1.00,-0.02713,0.00727,-0.00020,-0.99961,0.07817,-0.04048,-0.04714,0.99500,1.00
11,0.00,0.00,-0.05161,0.03182,0.04817,-0.99700,-0.02710,-0.01982,0.00054,-0.99944,0.07957,-0.01332,-0.04680,0.99564,1.00,-0.02716,0.00728,-0.00020,-0.99960,0.07832,-0.04039,-0.04747,0.99498,1.00
22,0.00,0.00,-0.05163,0.03164,0.04844,-0.99699,-0.02709,-0.01966,0.00053,-0.99944,0.07958,-0.01330,-0.04707,0.99563,1.00,-0.02716,0.00744,-0.00020,-0.99960,0.07833,-0.04037,-0.04774,0.99497,1.00
33,0.00,0.00,-0.05147,0.03156,0.04836,-0.99700,-0.02742,-0.01966,0.00054,-0.99943,0.07975,-0.01325,-0.04699,0.99562,1.00,-0.02748,0.00745,-0.00020,-0.99959,0.07848,-0.04031,-0.04765,0.99496,1.00
44,0.00,0.00,-0.05123,0.03147,0.04810,-0.99703,-0.02863,-0.01983,0.00057,-0.99939,0.08072,-0.01303,-0.04672,0.99556,1.00,-0.02867,0.00728,-0.00021,-0.99956,0.07943,-0.04010,-0.04734,0.99491,1.00
56,0.00,0.00,-0.05112,0.03139,0.04785,-0.99705,-0.02874,-0.01972,0.00057,-0.99939,0.08071,-0.01305,-0.04648,0.99557,1.00,-0.02876,0.00738,-0.00021,-0.99956,0.07942,-0.04012,-0.04709,0.99492,1.00
67,0.00,0.00,-0.05110,0.03130,0.04774,-0.99706,-0.02880,-0.01941,0.00056,-0.99940,0.08073,-0.01328,-0.04638,0.99557,1.00,-0.02881,0.00770,-0.00022,-0.99956,0.07942,-0.04035,-0.04699,0.99491,1.00
78,0.00,0.00,-0.05117,0.03118,0.04784,-0.99706,-0.02862,-0.01949,0.00056,-0.99940,0.08063,-0.01307,-0.04647,0.99557,1.00,-0.02864,0.00762,-0.00022,-0.99956,0.07933,-0.04014,-0.04709,0.99493,1.00
89,0.00,0.00,-0.05119,0.03113,0.04785,-0.99706,-0.02860,-0.01944,0.00056,-0.99940,0.08063,-0.01306,-0.04649,0.99557,1.00,-0.02862,0.00767,-0.00022,-0.99956,0.07933,-0.04014,-0.04712,0.99493,1.00
100,0.00,0.00,-0.05129,0.03108,0.04792,-0.99705,-0.02734,-0.01941,0.00053,-0.99944,0.07947,-0.01299,-0.04658,0.99566,1.00,-0.02737,0.00770,-0.00021,-0.99960,0.07818,-0.04006,-0.04724,0.99501,1.00
111,0.00,0.00,-0.05132,0.03108,0.04802,-0.99704,-0.02690,-0.01960,0.00053,-0.99945,0.07906,-0.01278,-0.04668,0.99569,1.00,-0.02693,0.00750,-0.00020,-0.99961,0.07778,-0.03985,-0.04735,0.99505,1.00
122,0.00,0.00,-0.05121,0.03105,0.04809,-0.99705,-0.02701,-0.01958,0.00053,-0.99944,0.07906,-0.01277,-0.04675,0.99569,1.00,-0.02704,0.00752,-0.00020,-0.99961,0.07778,-0.03984,-0.04742,0.99505,1.00
133,0.00,0.00,-0.05105,0.03100,0.04817,-0.99705,-0.02719,-0.02057,0.00056,-0.99942,0.07914,-0.01175,-0.04680,0.99570,1.00,-0.02722,0.00653,-0.00018,-0.99961,0.07786,-0.03882,-0.04746,0.99508,1.00
