Time_ms,LeftBlinkWeight,RightBlinkWeight,LeftConfidence,RightConfidence
0,0.00000,0.02487,1.00,1.00
11,0.00000,0.02487,1.00,1.00
22,0.00000,0.02885,1.00,1.00
34,0.00000,0.02885,1.00,1.00
44,0.00000,0.02275,1.00,1.00
56,0.00000,0.02275,1.00,1.00
66,0.00000,0.02275,1.00,1.00
77,0.00000,0.01881,1.00,1.00
89,0.00000,0.01881,1.00,1.00
99,0.00000,0.02382,1.00,1.00
112,0.00000,0.02382,1.00,1.00
123,0.00000,0.02052,1.00,1.00
133,0.00000,0.02052,1.00,1.00
146,0.00000,0.02052,1.00,1.00
156,0.00000,0.03170,1.00,1.00
167,0.00000,0.03170,1.00,1.00
179,0.00000,0.03170,1.00,1.00
190,0.00000,0.03005,1.00,1.00
201,0.00000,0.03005,1.00,1.00
211,0.00000,0.03605,1.00,1.00
223,0.00000,0.03605,1.00,1.00
235,0.00000,0.03605,1.00,1.00
245,0.00000,0.02774,1.00,1.00
258,0.00000,0.02774,1.00,1.00
268,0.00000,0.02908,1.00,1.00
279,0.00000,0.02908,1.00,1.00
291,0.00000,0.03011,1.00,1.00
301,0.00000,0.03011,1.00,1.00
313,0.00000,0.03011,1.00,1.00
322,0.00000,0.01806,1.00,1.00
335,0.00000,0.01806,1.00,1.00
347,0.00000,0.01806,1.00,1.00
356,0.00000,0.01373,1.00,1.00
368,0.00000,0.01373,1.00,1.00
379,0.00000,0.01216,1.00,1.00
389,0.00000,0.01216,1.00,1.00
401,0.00000,0.01161,1.00,1.00
411,0.00000,0.01161,1.00,1.00
424,0.00000,0.01161,1.00,1.00
435,0.00000,0.01144,1.00,1.00
445,0.00000,0.01144,1.00,1.00
457,0.00000,0.01144,1.00,1.00
467,0.00000,0.01141,1.00,1.00
480,0.00000,0.01141,1.00,1.00
489,0.00000,0.01143,1.00,1.00
502,0.00000,0.01143,1.00,1.00
513,0.00000,0.01143,1.00,1.00
523,0.00000,0.00435,1.00,1.00
535,0.00000,0.00435,1.00,1.00
546,0.00000,0.00684,1.00,1.00
558,0.00000,0.00684,1.00,1.00
568,0.00000,0.00276,1.00,1.00
579,0.00000,0.00276,1.00,1.00
591,0.00000,0.00276,1.00,1.00
601,0.00000,0.00104,1.00,1.00
613,0.00000,0.00104,1.00,1.00
624,0.00000,0.00027,1.00,1.00
635,0.00000,0.00027,1.00,1.00
646,0.00000,0.00027,1.00,1.00
657,0.00009,0.00000,1.00,1.00
669,0.00009,0.00000,1.00,1.00
680,0.00009,0.00000,1.00,1.00
690,0.00027,0.00000,1.00,1.00
702,0.00027,0.00000,1.00,1.00
712,0.00036,0.00000,1.00,1.00
725,0.00036,0.00000,1.00,1.00
736,0.00170,0.00000,1.00,1.00
747,0.00170,0.00000,1.00,1.00
758,0.00170,0.00000,1.00,1.00
768,0.00000,0.00318,1.00,1.00
781,0.00000,0.00318,1.00,1.00
792,0.00000,0.00318,1.00,1.00
802,0.00000,0.00101,1.00,1.00
814,0.00000,0.00101,1.00,1.00
825,0.00000,0.00506,1.00,1.00
836,0.00000,0.00506,1.00,1.00
847,0.00000,0.00506,1.00,1.00
858,0.00000,0.00235,1.00,1.00
871,0.00000,0.00235,1.00,1.00
885,0.00000,0.00100,1.00,1.00
898,0.00000,0.00100,1.00,1.00
910,0.00000,0.00030,1.00,1.00
922,0.00000,0.00030,1.00,1.00
933,0.00006,0.00000,1.00,1.00
945,0.00006,0.00000,1.00,1.00
956,0.00006,0.00000,1.00,1.00
968,0.00025,0.00000,1.00,1.00
980,0.00025,0.00000,1.00,1.00
992,0.00036,0.00000,1.00,1.00
1004,0.00036,0.00000,1.00,1.00
1017,0.00041,0.00000,1.00,1.00
1029,0.00041,0.00000,1.00,1.00
1043,0.00044,0.00000,1.00,1.00
1055,0.00044,0.00000,1.00,1.00
1064,0.00044,0.00000,1.00,1.00
1076,0.00045,0.00000,1.00,1.00
1089,0.00045,0.00000,1.00,1.00
1103,0.00046,0.00000,1.00,1.00
1118,0.00046,0.00000,1.00,1.00
1131,0.00000,0.00928,1.00,1.00
1144,0.00000,0.00928,1.00,1.00
1156,0.00000,0.00928,1.00,1.00
1168,0.00000,0.00609,1.00,1.00
1180,0.00000,0.00609,1.00,1.00
1192,0.00000,0.00401,1.00,1.00
1205,0.00000,0.00401,1.00,1.00
1218,0.00000,0.00139,1.00,1.00
1232,0.00000,0.00139,1.00,1.00
1246,0.00000,0.00722,1.00,1.00
1259,0.00000,0.00722,1.00,1.00
1271,0.00407,0.00000,1.00,1.00
1284,0.00407,0.00000,1.00,1.00
1297,0.00964,0.00000,1.00,1.00
1310,0.00964,0.00000,1.00,1.00
1323,0.00964,0.00000,1.00,1.00
1335,0.00452,0.00000,1.00,1.00
1347,0.00452,0.00000,1.00,1.00
1359,0.00969,0.00000,1.00,1.00
1373,0.00969,0.00000,1.00,1.00
1386,0.01254,0.00000,1.00,1.00
1400,0.01254,0.00000,1.00,1.00
1413,0.01416,0.00000,1.00,1.00
1427,0.01416,0.00000,1.00,1.00
1438,0.01416,0.00000,1.00,1.00
1449,0.01512,0.00000,1.00,1.00
1463,0.01512,0.00000,1.00,1.00
1475,0.01512,0.00000,1.00,1.00
1487,0.01570,0.00000,1.00,1.00
1499,0.01570,0.00000,1.00,1.00
1513,0.01570,0.00000,1.00,1.00
1525,0.01623,0.00000,1.00,1.00
1542,0.01623,0.00000,1.00,1.00
1554,0.00723,0.00000,1.00,1.00
1565,0.00723,0.00000,1.00,1.00
1576,0.00342,0.00000,1.00,1.00
1589,0.00342,0.00000,1.00,1.00
1603,0.00171,0.00000,1.00,1.00
1617,0.00171,0.00000,1.00,1.00
1629,0.00171,0.00000,1.00,1.00
1643,0.00090,0.00000,1.00,1.00
1655,0.00090,0.00000,1.00,1.00
1668,0.00049,0.00000,1.00,1.00
1679,0.00049,0.00000,1.00,1.00
1691,0.00028,0.00000,1.00,1.00
1703,0.00028,0.00000,1.00,1.00
1716,0.00028,0.00000,1.00,1.00
1730,0.00017,0.00000,1.00,1.00
1743,0.00010,0.00000,1.00,1.00
1757,0.00010,0.00000,1.00,1.00
1769,0.00006,0.00000,1.00,1.00
1781,0.00006,0.00000,1.00,1.00
1792,0.00006,0.00000,1.00,1.00
1802,0.00004,0.00000,1.00,1.00
1816,0.00004,0.00000,1.00,1.00
1829,0.00003,0.00000,1.00,1.00
