Time_ms,TargetRotX,TargetRotY,HeadRotX,HeadRotY,HeadRotZ,HeadRotW,LeftLocalRotX,LeftLocalRotY,LeftLocalRotZ,LeftLocalRotW,LeftWorldRotX,LeftWorldRotY,LeftWorldRotZ,LeftWorldRotW,LeftConfidence,RightLocalRotX,RightLocalRotY,RightLocalRotZ,RightLocalRotW,RightWorldRotX,RightWorldRotY,RightWorldRotZ,RightWorldRotW,RightConfidence
0,0.00,0.00,0.05069,0.04769,-0.03350,0.99701,0.03843,-0.02624,0.00101,0.99892,0.08812,0.02013,-0.03562,0.99527,1.00,0.03820,-0.05327,0.00204,0.99785,0.08698,-0.00691,-0.03591,0.99554,1.00
14,0.00,0.00,0.05062,0.04736,-0.03352,0.99703,0.03849,-0.02591,0.00100,0.99892,0.08812,0.02013,-0.03562,0.99527,1.00,0.03826,-0.05294,0.00203,0.99786,0.08698,-0.00691,-0.03592,0.99554,1.00
28,0.00,0.00,0.05052,0.04707,-0.03350,0.99705,0.03858,-0.02562,0.00099,0.99893,0.08812,0.02013,-0.03559,0.99527,1.00,0.03835,-0.05265,0.00202,0.99787,0.08698,-0.00691,-0.03588,0.99554,1.00
42,0.00,0.00,0.05044,0.04687,-0.03346,0.99707,0.03824,-0.02621,0.00100,0.99892,0.08768,0.01935,-0.03554,0.99533,1.00,0.03802,-0.05323,0.00203,0.99786,0.08655,-0.00768,-0.03583,0.99557,1.00
56,0.00,0.00,0.05017,0.04664,-0.03348,0.99709,0.03850,-0.02597,0.00100,0.99892,0.08768,0.01935,-0.03554,0.99533,1.00,0.03828,-0.05300,0.00203,0.99786,0.08655,-0.00768,-0.03582,0.99557,1.00
70,0.00,0.00,0.05011,0.04664,-0.03363,0.99709,0.03806,-0.02590,0.00099,0.99894,0.08719,0.01943,-0.03568,0.99536,1.00,0.03786,-0.05292,0.00201,0.99788,0.08607,-0.00761,-0.03597,0.99561,1.00
84,0.00,0.00,0.05022,0.04671,-0.03412,0.99706,0.03796,-0.02592,0.00098,0.99894,0.08718,0.01948,-0.03618,0.99535,1.00,0.03779,-0.05294,0.00200,0.99788,0.08607,-0.00756,-0.03648,0.99559,1.00
98,0.00,0.00,0.05038,0.04681,-0.03436,0.99704,0.03781,-0.02599,0.00098,0.99895,0.08717,0.01950,-0.03642,0.99534,1.00,0.03765,-0.05302,0.00200,0.99788,0.08608,-0.00754,-0.03672,0.99558,1.00
112,0.00,0.00,0.05047,0.04694,-0.03444,0.99703,0.03745,-0.02658,0.00100,0.99894,0.08689,0.01905,-0.03651,0.99537,1.00,0.03729,-0.05360,0.00200,0.99786,0.08579,-0.00799,-0.03683,0.99560,1.00
125,0.00,0.00,0.05073,0.04715,-0.03447,0.99700,0.03720,-0.02679,0.00100,0.99895,0.08689,0.01905,-0.03655,0.99537,1.00,0.03704,-0.05382,0.00200,0.99786,0.08579,-0.00799,-0.03688,0.99560,1.00
