Time_ms,HeadRotX,HeadRotY,HeadRotZ,HeadRotW,LeftLocalRotX,LeftLocalRotY,LeftLocalRotZ,LeftLocalRotW,LeftWorldRotX,LeftWorldRotY,LeftWorldRotZ,LeftWorldRotW,LeftConfidence,RightLocalRotX,RightLocalRotY,RightLocalRotZ,RightLocalRotW,RightWorldRotX,RightWorldRotY,RightWorldRotZ,RightWorldRotW,RightConfidence
0,-0.00621,0.02197,-0.02606,0.99940,-0.04253,-0.01324,-0.00056,0.99901,-0.04907,0.00982,-0.02558,0.99842,1.00,-0.04239,-0.04034,-0.00171,0.99828,-0.04966,-0.01729,-0.02655,0.99826,1.00
11,-0.00640,0.02196,-0.02602,0.99940,-0.04274,-0.01499,-0.00064,0.99897,-0.04952,0.00807,-0.02560,0.99841,1.00,-0.04259,-0.04209,-0.00180,0.99820,-0.05009,-0.01904,-0.02656,0.99821,1.00
22,-0.00654,0.02186,-0.02593,0.99940,-0.04261,-0.01488,-0.00063,0.99898,-0.04952,0.00807,-0.02551,0.99841,1.00,-0.04246,-0.04197,-0.00179,0.99821,-0.05009,-0.01904,-0.02647,0.99821,1.00
33,-0.00672,0.02194,-0.02611,0.99940,-0.04242,-0.01497,-0.00064,0.99899,-0.04952,0.00806,-0.02569,0.99841,1.00,-0.04227,-0.04206,-0.00178,0.99822,-0.05009,-0.01904,-0.02663,0.99821,1.00
45,-0.00687,0.02194,-0.02625,0.99939,-0.04260,-0.01527,-0.00065,0.99898,-0.04986,0.00777,-0.02583,0.99839,1.00,-0.04242,-0.04236,-0.00180,0.99820,-0.05041,-0.01934,-0.02678,0.99818,1.00
56,-0.00719,0.02197,-0.02641,0.99938,-0.04228,-0.01531,-0.00065,0.99899,-0.04986,0.00776,-0.02599,0.99839,1.00,-0.04210,-0.04240,-0.00179,0.99821,-0.05041,-0.01934,-0.02692,0.99818,1.00
67,-0.00753,0.02196,-0.02638,0.99938,-0.04194,-0.01529,-0.00064,0.99900,-0.04986,0.00776,-0.02596,0.99839,1.00,-0.04176,-0.04238,-0.00177,0.99823,-0.05041,-0.01934,-0.02687,0.99818,1.00
78,-0.00792,0.02202,-0.02637,0.99938,-0.04205,-0.01433,-0.00060,0.99901,-0.05032,0.00879,-0.02591,0.99836,1.00,-0.04188,-0.04142,-0.00174,0.99826,-0.05089,-0.01832,-0.02682,0.99818,1.00
89,-0.00818,0.02202,-0.02620,0.99938,-0.04179,-0.01430,-0.00060,0.99902,-0.05032,0.00880,-0.02574,0.99836,1.00,-0.04163,-0.04140,-0.00173,0.99827,-0.05089,-0.01831,-0.02663,0.99818,1.00
100,-0.00837,0.02217,-0.02611,0.99938,-0.04160,-0.01444,-0.00060,0.99903,-0.05032,0.00880,-0.02564,0.99837,1.00,-0.04145,-0.04153,-0.00172,0.99828,-0.05089,-0.01831,-0.02652,0.99818,1.00
