Time_ms,TargetRotY,HeadRotX,HeadRotY,HeadRotZ,HeadRotW,LeftLocalRotX,LeftLocalRotY,LeftLocalRotZ,LeftLocalRotW,LeftWorldRotX,LeftWorldRotY,LeftWorldRotZ,LeftWorldRotW,LeftConfidence,RightLocalRotX,RightLocalRotY,RightLocalRotZ,RightLocalRotW,RightWorldRotX,RightWorldRotY,RightWorldRotZ,RightWorldRotW,RightConfidence
0,0.00000,0.03557,0.01679,-0.04013,0.99842,-0.08143,-0.01442,-0.00118,0.99657,-0.04646,0.00564,-0.04031,0.99809,1.00,-0.08115,-0.04171,-0.00340,0.99582,-0.04733,-0.02155,-0.04348,0.99770,1.00
11,0.43301,0.03561,0.01659,-0.04011,0.99842,-0.08149,-0.01421,-0.00116,0.99657,-0.04646,0.00565,-0.04029,0.99809,1.00,-0.08120,-0.04151,-0.00338,0.99583,-0.04733,-0.02155,-0.04345,0.99770,1.00
22,0.88777,0.03550,0.01642,-0.04019,0.99843,-0.08138,-0.01405,-0.00115,0.99658,-0.04646,0.00564,-0.04036,0.99809,1.00,-0.08109,-0.04135,-0.00337,0.99584,-0.04733,-0.02155,-0.04352,0.99770,1.00
33,1.33111,0.03550,0.01629,-0.04029,0.99842,-0.08138,-0.01424,-0.00116,0.99658,-0.04646,0.00533,-0.04050,0.99808,1.00,-0.08106,-0.04153,-0.00338,0.99584,-0.04731,-0.02186,-0.04365,0.99769,1.00
44,1.77288,0.03562,0.01622,-0.04045,0.99841,-0.08149,-0.01420,-0.00116,0.99657,-0.04646,0.00533,-0.04066,0.99808,1.00,-0.08117,-0.04149,-0.00338,0.99583,-0.04731,-0.02187,-0.04382,0.99768,1.00
56,2.21651,0.03557,0.01618,-0.04047,0.99842,-0.08144,-0.01415,-0.00116,0.99658,-0.04646,0.00533,-0.04068,0.99808,1.00,-0.08112,-0.04145,-0.00338,0.99584,-0.04730,-0.02187,-0.04384,0.99768,1.00
67,2.66478,0.03547,0.01611,-0.04050,0.99842,-0.08138,-0.01273,-0.00104,0.99660,-0.04643,0.00668,-0.04054,0.99808,1.00,-0.08108,-0.04002,-0.00326,0.99590,-0.04729,-0.02052,-0.04370,0.99771,1.00
78,3.09994,0.03532,0.01610,-0.04047,0.99843,-0.08123,-0.01271,-0.00104,0.99661,-0.04643,0.00668,-0.04050,0.99808,1.00,-0.08093,-0.04001,-0.00325,0.99591,-0.04729,-0.02052,-0.04366,0.99772,1.00
89,3.53720,0.03519,0.01616,-0.04039,0.99843,-0.08109,-0.01275,-0.00104,0.99662,-0.04643,0.00668,-0.04043,0.99808,1.00,-0.08079,-0.04005,-0.00325,0.99592,-0.04730,-0.02052,-0.04358,0.99772,1.00
100,3.98110,0.03503,0.01617,-0.04029,0.99844,-0.08215,-0.01202,-0.00099,0.99655,-0.04762,0.00746,-0.04024,0.99803,1.00,-0.08187,-0.03933,-0.00323,0.99586,-0.04850,-0.01975,-0.04341,0.99768,1.00
111,4.41345,0.03493,0.01620,-0.04026,0.99845,-0.08206,-0.01204,-0.00099,0.99655,-0.04762,0.00746,-0.04021,0.99803,1.00,-0.08178,-0.03935,-0.00323,0.99587,-0.04850,-0.01975,-0.04337,0.99769,1.00
122,4.84896,0.03483,0.01630,-0.04035,0.99845,-0.08196,-0.01215,-0.00100,0.99656,-0.04762,0.00745,-0.04030,0.99802,1.00,-0.08167,-0.03946,-0.00324,0.99587,-0.04850,-0.01976,-0.04346,0.99768,1.00
134,5.28587,0.03479,0.01634,-0.04043,0.99844,-0.08221,-0.01142,-0.00094,0.99655,-0.04789,0.00823,-0.04028,0.99801,1.00,-0.08193,-0.03874,-0.00319,0.99588,-0.04877,-0.01898,-0.04345,0.99768,1.00
145,5.72740,0.03485,0.01642,-0.04041,0.99844,-0.08227,-0.01151,-0.00095,0.99654,-0.04789,0.00823,-0.04027,0.99801,1.00,-0.08199,-0.03882,-0.00320,0.99587,-0.04877,-0.01898,-0.04345,0.99768,1.00
156,6.14180,0.03495,0.01643,-0.04039,0.99844,-0.08237,-0.01151,-0.00095,0.99653,-0.04789,0.00824,-0.04025,0.99801,1.00,-0.08209,-0.03882,-0.00320,0.99586,-0.04877,-0.01898,-0.04342,0.99769,1.00
167,6.55620,0.03509,0.01652,-0.04042,0.99843,-0.08269,-0.01103,-0.00092,0.99651,-0.04805,0.00882,-0.04021,0.99800,1.00,-0.08241,-0.03835,-0.00317,0.99586,-0.04894,-0.01840,-0.04340,0.99769,1.00
178,6.97519,0.03533,0.01659,-0.04049,0.99842,-0.08293,-0.01112,-0.00093,0.99649,-0.04805,0.00882,-0.04028,0.99799,1.00,-0.08265,-0.03844,-0.00319,0.99583,-0.04894,-0.01840,-0.04349,0.99769,1.00
189,7.39214,0.03570,0.01671,-0.04064,0.99840,-0.08329,-0.01128,-0.00094,0.99646,-0.04805,0.00881,-0.04045,0.99799,1.00,-0.08300,-0.03860,-0.00322,0.99580,-0.04893,-0.01841,-0.04367,0.99768,1.00
201,7.80765,0.03588,0.01679,-0.04075,0.99838,-0.08261,-0.01172,-0.00097,0.99651,-0.04721,0.00843,-0.04061,0.99802,1.00,-0.08231,-0.03903,-0.00323,0.99584,-0.04809,-0.01878,-0.04382,0.99771,1.00
212,8.21059,0.03612,0.01682,-0.04073,0.99838,-0.08284,-0.01175,-0.00098,0.99649,-0.04721,0.00844,-0.04059,0.99802,1.00,-0.08255,-0.03907,-0.00324,0.99582,-0.04809,-0.01878,-0.04381,0.99770,1.00
223,8.62416,0.03615,0.01684,-0.04070,0.99838,-0.08287,-0.01177,-0.00098,0.99649,-0.04721,0.00844,-0.04057,0.99803,1.00,-0.08258,-0.03909,-0.00324,0.99581,-0.04809,-0.01878,-0.04379,0.99771,1.00
234,9.02399,0.03608,0.01676,-0.04048,0.99839,-0.08479,-0.01154,-0.00098,0.99633,-0.04919,0.00865,-0.04031,0.99794,1.00,-0.08450,-0.03887,-0.00330,0.99566,-0.05007,-0.01857,-0.04358,0.99762,1.00
245,9.41450,0.03604,0.01675,-0.04036,0.99839,-0.08475,-0.01151,-0.00098,0.99634,-0.04918,0.00866,-0.04018,0.99794,1.00,-0.08447,-0.03884,-0.00330,0.99566,-0.05008,-0.01857,-0.04346,0.99763,1.00
256,9.80311,0.03588,0.01659,-0.04002,0.99842,-0.08460,-0.01130,-0.00096,0.99635,-0.04918,0.00867,-0.03983,0.99796,1.00,-0.08435,-0.03863,-0.00327,0.99568,-0.05008,-0.01855,-0.04310,0.99764,1.00
267,10.19452,0.03596,0.01660,-0.03992,0.99842,-0.08196,-0.01226,-0.00101,0.99656,-0.04649,0.00761,-0.03987,0.99809,1.00,-0.08170,-0.03956,-0.00325,0.99587,-0.04738,-0.01959,-0.04306,0.99776,1.00
278,10.57063,0.03618,0.01667,-0.03994,0.99841,-0.08216,-0.01234,-0.00102,0.99654,-0.04649,0.00761,-0.03990,0.99809,1.00,-0.08190,-0.03965,-0.00326,0.99585,-0.04738,-0.01959,-0.04310,0.99775,1.00
290,10.94596,0.03649,0.01670,-0.04000,0.99839,-0.08248,-0.01239,-0.00103,0.99652,-0.04649,0.00761,-0.03996,0.99809,1.00,-0.08221,-0.03970,-0.00328,0.99582,-0.04738,-0.01960,-0.04318,0.99775,1.00
301,11.32743,0.03683,0.01681,-0.04006,0.99838,-0.08418,-0.01260,-0.00106,0.99637,-0.04787,0.00758,-0.04002,0.99802,1.00,-0.08389,-0.03992,-0.00336,0.99567,-0.04874,-0.01964,-0.04330,0.99768,1.00
312,11.68065,0.03710,0.01692,-0.04003,0.99837,-0.08445,-0.01272,-0.00108,0.99635,-0.04787,0.00758,-0.04001,0.99802,1.00,-0.08416,-0.04004,-0.00338,0.99564,-0.04874,-0.01964,-0.04330,0.99768,1.00
