Time_ms,TargetRotY,HeadRotX,HeadRotY,HeadRotZ,HeadRotW,LeftLocalRotX,LeftLocalRotY,LeftLocalRotZ,LeftLocalRotW,LeftWorldRotX,LeftWorldRotY,LeftWorldRotZ,LeftWorldRotW,LeftConfidence,RightLocalRotX,RightLocalRotY,RightLocalRotZ,RightLocalRotW,RightWorldRotX,RightWorldRotY,RightWorldRotZ,RightWorldRotW,RightConfidence
0,0.00000,0.05231,0.00451,-0.02122,0.99840,-0.10896,0.00572,0.00063,0.99403,-0.05666,0.01247,-0.01968,0.99812,1.00,-0.10878,-0.02185,-0.00239,0.99382,-0.05710,-0.01489,-0.02413,0.99797,1.00
11,0.43881,0.05208,0.00447,-0.02161,0.99840,-0.10957,0.00636,0.00070,0.99396,-0.05749,0.01313,-0.01996,0.99806,1.00,-0.10941,-0.02121,-0.00234,0.99377,-0.05794,-0.01425,-0.02443,0.99792,1.00
21,0.84996,0.05189,0.00463,-0.02193,0.99840,-0.10938,0.00615,0.00068,0.99398,-0.05749,0.01311,-0.02030,0.99805,1.00,-0.10919,-0.02142,-0.00235,0.99379,-0.05794,-0.01427,-0.02475,0.99791,1.00
33,1.33689,0.05173,0.00470,-0.02222,0.99840,-0.10923,0.00603,0.00066,0.99400,-0.05749,0.01309,-0.02060,0.99805,1.00,-0.10903,-0.02153,-0.00236,0.99380,-0.05793,-0.01428,-0.02504,0.99790,1.00
44,1.76102,0.05148,0.00488,-0.02248,0.99841,-0.10519,0.00598,0.00063,0.99443,-0.05369,0.01315,-0.02090,0.99825,1.00,-0.10502,-0.02155,-0.00228,0.99423,-0.05416,-0.01419,-0.02522,0.99811,1.00
55,2.18375,0.05136,0.00510,-0.02275,0.99841,-0.10508,0.00571,0.00060,0.99445,-0.05370,0.01313,-0.02119,0.99825,1.00,-0.10489,-0.02182,-0.00230,0.99424,-0.05416,-0.01421,-0.02550,0.99811,1.00
67,2.66055,0.05122,0.00532,-0.02319,0.99840,-0.10494,0.00542,0.00057,0.99446,-0.05370,0.01311,-0.02165,0.99824,1.00,-0.10472,-0.02210,-0.00233,0.99425,-0.05415,-0.01423,-0.02595,0.99809,1.00
78,3.08818,0.05111,0.00563,-0.02363,0.99840,-0.10546,0.00559,0.00059,0.99441,-0.05433,0.01364,-0.02203,0.99819,1.00,-0.10527,-0.02195,-0.00232,0.99420,-0.05481,-0.01370,-0.02634,0.99805,1.00
88,3.51738,0.05091,0.00587,-0.02400,0.99840,-0.10526,0.00529,0.00056,0.99443,-0.05433,0.01362,-0.02242,0.99818,1.00,-0.10505,-0.02224,-0.00235,0.99422,-0.05481,-0.01373,-0.02672,0.99804,1.00
100,3.98320,0.05086,0.00612,-0.02434,0.99839,-0.10521,0.00498,0.00053,0.99444,-0.05434,0.01360,-0.02278,0.99817,1.00,-0.10498,-0.02255,-0.00238,0.99422,-0.05480,-0.01375,-0.02708,0.99804,1.00
