Time_ms,LeftRotX,LeftRotY,LeftRotZ,LeftRotW,LeftConfidence,RightRotX,RightRotY,RightRotZ,RightRotW,RightConfidence
12664,0,08135808,0,02561,-0,01000905,-0,9963055,0,9980469,0,08062273,0,05220687,-0,01463996,-0,9952688,0,9980469
12678,0,08119786,0,0249104,-0,009725202,-0,9963393,0,9980469,0,08044048,0,05151314,-0,01435904,-0,9953238,0,9980469
12692,0,08117568,0,02495191,-0,00950069,-0,9963421,0,9980469,0,08041214,0,05155539,-0,01412327,-0,9953272,0,9980469
12706,0,0806843,0,02181503,-0,008814353,-0,996462,0,9980469,0,07991853,0,04843757,-0,01345095,-0,995533,0,9980469
12720,0,08065634,0,02186012,-0,008469265,-0,9964663,0,9980469,0,07988188,0,04848255,-0,01310076,-0,9955385,0,9980469
12734,0,08063126,0,02190505,-0,008233763,-0,9964693,0,9980469,0,0798502,0,04852835,-0,0128522,-0,9955419,0,9980469
12748,0,08046629,0,02106417,-0,007796286,-0,9965042,0,9980469,0,07969132,0,04769511,-0,01240321,-0,9956007,0,9980469
12762,0,08043045,0,02112998,-0,007389409,-0,9965089,0,9980469,0,07964469,0,04776172,-0,0119817,-0,9956064,0,9980469
12775,0,08125472,0,02255795,-0,00688875,-0,9964143,0,9980469,0,0804669,0,04918636,-0,01143424,-0,9954773,0,9980469
12789,0,08123552,0,02258661,-0,006685345,-0,9964167,0,9980469,0,08044241,0,04921507,-0,01122636,-0,9954803,0,9980469
12803,0,0812178,0,02260516,-0,006602043,-0,9964183,0,9980469,0,08042207,0,04923423,-0,0111362,-0,9954821,0,9980469
12817,0,08282897,0,02427536,-0,006056145,-0,9962497,0,9980469,0,0820273,0,05089899,-0,01053346,-0,9952738,0,9980469
12831,0,08281599,0,02428149,-0,006068826,-0,9962506,0,9980469,0,08201396,0,05090569,-0,01054046,-0,9952745,0,9980469
12845,0,08382104,0,02431151,-0,005496542,-0,9961691,0,9980469,0,08301663,0,05093752,-0,009935575,-0,9951959,0,9980469
12859,0,08381343,0,02431922,-0,005296655,-0,9961706,0,9980469,0,08300497,0,0509438,-0,009746034,-0,9951985,0,9980469
12873,0,08360123,0,0226142,-0,004875767,-0,9962308,0,9980469,0,08280109,0,04924609,-0,009340873,-0,9953048,0,9980469
12887,0,08359064,0,02262351,-0,00478231,-0,9962318,0,9980469,0,08278818,0,04925518,-0,00924799,-0,9953062,0,9980469
12901,0,0835866,0,02260981,-0,004956507,-0,9962317,0,9980469,0,08278771,0,04924227,-0,009417573,-0,9953054,0,9980469
12915,0,08362974,0,0203654,-0,00488993,-0,9962769,0,9980469,0,08285616,0,047009,-0,00935734,-0,9954083,0,9980469
12929,0,083629,0,02036709,-0,004720763,-0,9962777,0,9980469,0,08285224,0,04700915,-0,00920035,-0,99541,0,9980469
12943,0,08331608,0,01992099,-0,004171113,-0,9963154,0,9980469,0,08253715,0,04655999,-0,008687011,-0,9954619,0,9980469
12957,0,08333568,0,01990036,-0,003975184,-0,996315,0,9980469,0,0825543,0,0465357,-0,008521303,-0,9954631,0,9980469
12970,0,004894659,-0,02795741,-0,02574526,-0,9992656,0,9980469,0,00492619,-0,0009975838,-0,03266234,-0,9994538,0,9980469
12984,0,004925214,-0,02802273,-0,0258359,-0,9992613,0,9980469,0,00496012,-0,00106335,-0,03277975,-0,9994498,0,9980469
12999,0,004950479,-0,02808297,-0,02594639,-0,9992567,0,9980469,0,004989065,-0,001123992,-0,03291433,-0,9994453,0,9980469
13012,0,005650192,-0,02813926,-0,02588326,-0,9992529,0,9980469,0,005721197,-0,001181743,-0,0328406,-0,9994435,0,9980469
13026,0,005660847,-0,028172,-0,02590023,-0,9992515,0,9980469,0,005732723,-0,00121492,-0,03287112,-0,9994426,0,9980469
13040,0,08579268,0,02589704,-0,004374758,-0,9959669,0,9980469,0,08506609,0,05249472,-0,008923082,-0,9949516,0,9980469
13054,0,08576704,0,02592895,-0,004105019,-0,9959694,0,9980469,0,08503375,0,05252623,-0,008652462,-0,9949551,0,9980469
13068,0,08573927,0,02596363,-0,003787537,-0,995972,0,9980469,0,08499831,0,05256028,-0,008335834,-0,9949589,0,9980469
13082,0,08611417,0,03082683,-0,004106202,-0,9957999,0,9980469,0,08537114,0,05739492,-0,008620831,-0,9946573,0,9980469
