Time_ms,TargetRotX,TargetRotY,HeadRotX,HeadRotY,HeadRotZ,HeadRotW,LeftLocalRotX,LeftLocalRotY,LeftLocalRotZ,LeftLocalRotW,LeftWorldRotX,LeftWorldRotY,LeftWorldRotZ,LeftWorldRotW,LeftConfidence,RightLocalRotX,RightLocalRotY,RightLocalRotZ,RightLocalRotW,RightWorldRotX,RightWorldRotY,RightWorldRotZ,RightWorldRotW,RightConfidence
0,0.00,0.00,0.10275,-0.01328,0.01546,-0.99450,0.08087,0.01548,0.00126,-0.99660,-0.18309,-0.00104,-0.01400,0.98300,1.00,0.08057,0.04277,0.00346,-0.99583,-0.18315,-0.02842,-0.01337,0.98258,1.00
12,0.00,0.00,0.10285,-0.01360,0.01559,-0.99448,0.08077,0.01583,0.00128,-0.99661,-0.18309,-0.00106,-0.01408,0.98300,1.00,0.08046,0.04312,0.00348,-0.99582,-0.18315,-0.02844,-0.01346,0.98258,1.00
22,0.00,0.00,0.10293,-0.01397,0.01552,-0.99447,0.08043,0.01471,0.00119,-0.99665,-0.18282,0.00042,-0.01401,0.98305,1.00,0.08014,0.04200,0.00338,-0.99589,-0.18290,-0.02696,-0.01337,0.98267,1.00
33,0.00,0.00,0.10288,-0.01429,0.01548,-0.99447,0.08048,0.01501,0.00121,-0.99664,-0.18282,0.00044,-0.01394,0.98305,1.00,0.08019,0.04230,0.00341,-0.99588,-0.18290,-0.02694,-0.01330,0.98267,1.00
45,0.00,0.00,0.10281,-0.01462,0.01553,-0.99447,0.08054,0.01534,0.00124,-0.99663,-0.18282,0.00043,-0.01396,0.98305,1.00,0.08025,0.04263,0.00344,-0.99586,-0.18290,-0.02695,-0.01333,0.98267,1.00
56,0.00,0.00,0.10285,-0.01490,0.01565,-0.99446,0.08061,0.01565,0.00127,-0.99662,-0.18294,0.00042,-0.01404,0.98302,1.00,0.08030,0.04294,0.00346,-0.99584,-0.18301,-0.02696,-0.01341,0.98265,1.00
67,0.00,0.00,0.10284,-0.01506,0.01582,-0.99446,0.08062,0.01585,0.00128,-0.99662,-0.18294,0.00039,-0.01420,0.98302,1.00,0.08030,0.04313,0.00348,-0.99583,-0.18300,-0.02699,-0.01357,0.98265,1.00
79,0.00,0.00,0.10269,-0.01521,0.01606,-0.99447,0.08076,0.01607,0.00130,-0.99660,-0.18294,0.00035,-0.01442,0.98302,1.00,0.08043,0.04335,0.00350,-0.99581,-0.18300,-0.02703,-0.01380,0.98264,1.00
90,0.00,0.00,0.10241,-0.01533,0.01641,-0.99449,0.08101,0.01589,0.00129,-0.99659,-0.18290,0.00067,-0.01477,0.98302,1.00,0.08066,0.04318,0.00350,-0.99580,-0.18295,-0.02671,-0.01416,0.98266,1.00
101,0.00,0.00,0.10215,-0.01525,0.01635,-0.99452,0.08127,0.01581,0.00129,-0.99657,-0.18290,0.00068,-0.01472,0.98302,1.00,0.08092,0.04310,0.00350,-0.99578,-0.18296,-0.02671,-0.01413,0.98266,1.00
112,0.00,0.00,0.10200,-0.01519,0.01602,-0.99454,0.08143,0.01566,0.00128,-0.99656,-0.18290,0.00074,-0.01440,0.98303,1.00,0.08109,0.04296,0.00350,-0.99577,-0.18296,-0.02665,-0.01382,0.98266,1.00
