Time_ms,HeadRotX,HeadRotY,HeadRotZ,HeadRotW,LeftLocalRotX,LeftLocalRotY,LeftLocalRotZ,LeftLocalRotW,LeftWorldRotX,LeftWorldRotY,LeftWorldRotZ,LeftWorldRotW,LeftConfidence,RightLocalRotX,RightLocalRotY,RightLocalRotZ,RightLocalRotW,RightWorldRotX,RightWorldRotY,RightWorldRotZ,RightWorldRotW,RightConfidence
0,0.11107,-0.03047,0.02070,-0.99313,0.07174,0.01126,0.00081,-0.99736,-0.18228,0.02060,-0.01801,0.98287,1.00,0.07154,0.03851,0.00276,-0.99669,-0.18263,-0.00670,-0.01692,0.98301,1.00
12,0.11075,-0.03070,0.02102,-0.99315,0.07205,0.01157,0.00084,-0.99733,-0.18229,0.02055,-0.01830,0.98286,1.00,0.07183,0.03882,0.00280,-0.99666,-0.18263,-0.00676,-0.01723,0.98301,1.00
22,0.11037,-0.03089,0.02136,-0.99318,0.07211,0.01342,0.00097,-0.99731,-0.18201,0.01891,-0.01856,0.98294,1.00,0.07184,0.04066,0.00293,-0.99658,-0.18230,-0.00839,-0.01749,0.98305,1.00
33,0.11010,-0.03100,0.02163,-0.99320,0.07238,0.01360,0.00099,-0.99728,-0.18201,0.01886,-0.01881,0.98294,1.00,0.07209,0.04084,0.00295,-0.99656,-0.18230,-0.00844,-0.01776,0.98305,1.00
45,0.10988,-0.03112,0.02157,-0.99322,0.07259,0.01371,0.00100,-0.99727,-0.18201,0.01887,-0.01873,0.98294,1.00,0.07231,0.04096,0.00297,-0.99654,-0.18230,-0.00843,-0.01769,0.98305,1.00
56,0.10973,-0.03120,0.02158,-0.99324,0.07375,0.01483,0.00110,-0.99717,-0.18302,0.01786,-0.01868,0.98277,1.00,0.07345,0.04207,0.00310,-0.99641,-0.18330,-0.00945,-0.01768,0.98285,1.00
67,0.10964,-0.03123,0.02150,-0.99325,0.07384,0.01484,0.00110,-0.99716,-0.18302,0.01787,-0.01860,0.98277,1.00,0.07355,0.04208,0.00311,-0.99640,-0.18330,-0.00944,-0.01760,0.98285,1.00
79,0.10959,-0.03120,0.02156,-0.99325,0.07389,0.01482,0.00110,-0.99716,-0.18302,0.01786,-0.01866,0.98277,1.00,0.07359,0.04207,0.00311,-0.99640,-0.18330,-0.00945,-0.01767,0.98285,1.00
90,0.10943,-0.03111,0.02162,-0.99327,0.07360,0.01466,0.00108,-0.99718,-0.18257,0.01793,-0.01874,0.98285,1.00,0.07331,0.04191,0.00308,-0.99642,-0.18285,-0.00938,-0.01774,0.98294,1.00
101,0.10912,-0.03096,0.02185,-0.99331,0.07391,0.01458,0.00108,-0.99716,-0.18257,0.01789,-0.01898,0.98285,1.00,0.07361,0.04183,0.00309,-0.99640,-0.18285,-0.00942,-0.01799,0.98293,1.00
112,0.10888,-0.03063,0.02187,-0.99334,0.07415,0.01427,0.00106,-0.99714,-0.18258,0.01788,-0.01903,0.98285,1.00,0.07385,0.04152,0.00308,-0.99640,-0.18285,-0.00944,-0.01806,0.98293,1.00
123,0.10894,-0.03010,0.02154,-0.99336,0.07528,0.01457,0.00110,-0.99706,-0.18375,0.01703,-0.01871,0.98265,1.00,0.07498,0.04182,0.00315,-0.99630,-0.18402,-0.01029,-0.01777,0.98271,1.00
134,0.10920,-0.02948,0.02100,-0.99336,0.07503,0.01382,0.00104,-0.99709,-0.18374,0.01712,-0.01825,0.98266,1.00,0.07476,0.04107,0.00308,-0.99635,-0.18402,-0.01020,-0.01729,0.98272,1.00
146,0.10926,-0.02881,0.02030,-0.99339,0.07499,0.01299,0.00098,-0.99710,-0.18373,0.01724,-0.01764,0.98267,1.00,0.07476,0.04024,0.00302,-0.99639,-0.18403,-0.01008,-0.01668,0.98273,1.00
156,0.10910,-0.02830,0.01992,-0.99343,0.07561,0.01305,0.00099,-0.99705,-0.18419,0.01665,-0.01728,0.98260,1.00,0.07539,0.04030,0.00305,-0.99633,-0.18449,-0.01067,-0.01635,0.98264,1.00
167,0.10881,-0.02778,0.01976,-0.99348,0.07592,0.01250,0.00095,-0.99704,-0.18419,0.01667,-0.01718,0.98260,1.00,0.07571,0.03976,0.00302,-0.99633,-0.18449,-0.01066,-0.01626,0.98264,1.00
179,0.10836,-0.02736,0.01962,-0.99354,0.07638,0.01207,0.00092,-0.99701,-0.18419,0.01669,-0.01709,0.98260,1.00,0.07618,0.03933,0.00301,-0.99631,-0.18449,-0.01064,-0.01619,0.98264,1.00
190,0.10827,-0.02675,0.01912,-0.99358,0.07633,0.01033,0.00079,-0.99703,-0.18400,0.01778,-0.01669,0.98262,1.00,0.07612,0.03759,0.00287,-0.99639,-0.18431,-0.00956,-0.01580,0.98269,1.00
201,0.10853,-0.02611,0.01857,-0.99358,0.07608,0.00956,0.00073,-0.99706,-0.18400,0.01787,-0.01621,0.98263,1.00,0.07590,0.03683,0.00281,-0.99643,-0.18431,-0.00947,-0.01531,0.98270,1.00
212,0.10919,-0.02568,0.01812,-0.99352,0.07542,0.00901,0.00068,-0.99711,-0.18399,0.01794,-0.01582,0.98264,1.00,0.07527,0.03627,0.00274,-0.99650,-0.18432,-0.00939,-0.01488,0.98271,1.00
