Time_ms,TargetRotX,TargetRotY,HeadRotX,HeadRotY,HeadRotZ,HeadRotW,LeftLocalRotX,LeftLocalRotY,LeftLocalRotZ,LeftLocalRotW,LeftWorldRotX,LeftWorldRotY,LeftWorldRotZ,LeftWorldRotW,LeftConfidence,RightLocalRotX,RightLocalRotY,RightLocalRotZ,RightLocalRotW,RightWorldRotX,RightWorldRotY,RightWorldRotZ,RightWorldRotW,RightConfidence
0,0.00,0.00,0.01644,0.02651,-0.02758,0.99913,-0.08036,-0.01905,-0.00154,0.99658,-0.06448,0.00963,-0.02721,0.99750,1.00,-0.07999,-0.04632,-0.00372,0.99571,-0.06493,-0.01762,-0.02982,0.99729,1.00
12,0.00,0.00,0.01630,0.02641,-0.02785,0.99913,-0.08022,-0.01898,-0.00153,0.99659,-0.06448,0.00961,-0.02748,0.99749,1.00,-0.07984,-0.04625,-0.00371,0.99573,-0.06493,-0.01763,-0.03008,0.99728,1.00
22,0.00,0.00,0.01614,0.02634,-0.02798,0.99913,-0.08126,-0.01739,-0.00142,0.99654,-0.06562,0.01117,-0.02744,0.99740,1.00,-0.08088,-0.04467,-0.00363,0.99572,-0.06609,-0.01608,-0.03008,0.99723,1.00
33,0.00,0.00,0.01596,0.02626,-0.02802,0.99914,-0.08107,-0.01730,-0.00141,0.99656,-0.06562,0.01117,-0.02748,0.99740,1.00,-0.08070,-0.04458,-0.00361,0.99573,-0.06609,-0.01608,-0.03010,0.99723,1.00
45,0.00,0.00,0.01586,0.02613,-0.02801,0.99914,-0.08098,-0.01717,-0.00140,0.99657,-0.06562,0.01117,-0.02746,0.99740,1.00,-0.08061,-0.04445,-0.00360,0.99575,-0.06609,-0.01608,-0.03008,0.99723,1.00
56,0.00,0.00,0.01594,0.02608,-0.02803,0.99914,-0.08122,-0.01876,-0.00153,0.99652,-0.06583,0.00955,-0.02764,0.99740,1.00,-0.08085,-0.04604,-0.00374,0.99566,-0.06629,-0.01770,-0.03027,0.99718,1.00
67,0.00,0.00,0.01604,0.02601,-0.02815,0.99914,-0.08132,-0.01872,-0.00153,0.99651,-0.06583,0.00954,-0.02777,0.99740,1.00,-0.08094,-0.04599,-0.00374,0.99565,-0.06629,-0.01771,-0.03040,0.99718,1.00
79,0.00,0.00,0.01641,0.02610,-0.02839,0.99912,-0.08168,-0.01885,-0.00154,0.99648,-0.06583,0.00952,-0.02801,0.99739,1.00,-0.08129,-0.04612,-0.00377,0.99562,-0.06629,-0.01773,-0.03066,0.99717,1.00
89,0.00,0.00,0.01680,0.02614,-0.02867,0.99911,-0.08425,-0.01910,-0.00161,0.99626,-0.06803,0.00941,-0.02829,0.99724,1.00,-0.08384,-0.04639,-0.00391,0.99539,-0.06848,-0.01786,-0.03103,0.99701,1.00
100,0.00,0.00,0.01707,0.02624,-0.02905,0.99909,-0.08451,-0.01926,-0.00163,0.99624,-0.06803,0.00938,-0.02869,0.99723,1.00,-0.08408,-0.04655,-0.00393,0.99536,-0.06847,-0.01788,-0.03143,0.99700,1.00
112,0.00,0.00,0.01728,0.02634,-0.02930,0.99907,-0.08471,-0.01940,-0.00165,0.99622,-0.06803,0.00936,-0.02894,0.99722,1.00,-0.08427,-0.04670,-0.00395,0.99534,-0.06846,-0.01790,-0.03170,0.99699,1.00
123,0.00,0.00,0.01739,0.02648,-0.02951,0.99906,-0.08465,-0.01952,-0.00166,0.99622,-0.06786,0.00940,-0.02916,0.99722,1.00,-0.08422,-0.04682,-0.00396,0.99534,-0.06831,-0.01787,-0.03192,0.99699,1.00
