Time_ms,Phase,PhaseTime_ms,TargetRotX,TargetRotY,HeadRotX,HeadRotY,HeadRotZ,HeadRotW,LeftLocalRotX,LeftLocalRotY,LeftLocalRotZ,LeftLocalRotW,LeftWorldRotX,LeftWorldRotY,LeftWorldRotZ,LeftWorldRotW,RightLocalRotX,RightLocalRotY,RightLocalRotZ,RightLocalRotW,RightWorldRotX,RightWorldRotY,RightWorldRotZ,RightWorldRotW,LeftBlinkWeight,RightBlinkWeight,LeftConfidence,RightConfidence
0,Fixation,0,0.00,0.00,0.09342,-0.00885,0.00406,-0.99558,0.16048,-0.01035,-0.00168,-0.98698,-0.25192,0.01985,-0.00188,0.96754,0.16035,0.01783,0.00290,-0.98689,-0.25194,-0.00863,-0.00381,0.96770,0.00000,0.00000,1.00,1.00
10,Fixation,10,0.00,0.00,0.09359,-0.00910,0.00429,-0.99556,0.16032,-0.01001,-0.00163,-0.98701,-0.25192,0.01979,-0.00209,0.96754,0.16018,0.01816,0.00295,-0.98692,-0.25194,-0.00869,-0.00401,0.96770,0.00000,0.00000,1.00,1.00
22,Fixation,22,0.00,0.00,0.09364,-0.00938,0.00455,-0.99555,0.16027,-0.00964,-0.00157,-0.98702,-0.25192,0.01973,-0.00234,0.96754,0.16012,0.01853,0.00301,-0.98692,-0.25193,-0.00875,-0.00425,0.96770,0.00000,0.00000,1.00,1.00
33,Fixation,33,0.00,0.00,0.09379,-0.00965,0.00484,-0.99553,0.15809,-0.00883,-0.00141,-0.98738,-0.24994,0.01922,-0.00267,0.96807,0.15794,0.01931,0.00309,-0.98725,-0.24996,-0.00922,-0.00451,0.96820,0.00000,0.00000,1.00,1.00
44,Fixation,44,0.00,0.00,0.09402,-0.00995,0.00505,-0.99551,0.15788,-0.00846,-0.00135,-0.98742,-0.24994,0.01917,-0.00286,0.96807,0.15772,0.01968,0.00314,-0.98728,-0.24996,-0.00927,-0.00469,0.96820,0.00000,0.00000,1.00,1.00
55,Fixation,55,0.00,0.00,0.09426,-0.01009,0.00508,-0.99548,0.15764,-0.00831,-0.00133,-0.98746,-0.24994,0.01916,-0.00289,0.96807,0.15747,0.01983,0.00316,-0.98732,-0.24996,-0.00927,-0.00470,0.96820,0.00000,0.00000,1.00,1.00
67,Fixation,67,0.00,0.00,0.09477,-0.01025,0.00494,-0.99543,0.15633,-0.00919,-0.00145,-0.98766,-0.24915,0.02018,-0.00270,0.96825,0.15622,0.01893,0.00299,-0.98754,-0.24921,-0.00823,-0.00447,0.96840,0.00000,0.00000,1.00,1.00
77,Fixation,77,0.00,0.00,0.09513,-0.01031,0.00477,-0.99540,0.15596,-0.00920,-0.00145,-0.98772,-0.24914,0.02022,-0.00253,0.96825,0.15586,0.01891,0.00298,-0.98759,-0.24921,-0.00818,-0.00427,0.96840,0.00000,0.00000,1.00,1.00
88,Fixation,88,0.00,0.00,0.09521,-0.01055,0.00481,-0.99539,0.15588,-0.00895,-0.00141,-0.98773,-0.24915,0.02022,-0.00255,0.96825,0.15578,0.01916,0.00302,-0.98760,-0.24921,-0.00819,-0.00429,0.96840,0.00000,0.00000,1.00,1.00
100,Fixation,100,0.00,0.00,0.09493,-0.01081,0.00489,-0.99541,0.15616,-0.00938,-0.00148,-0.98769,-0.24914,0.02091,-0.00255,0.96824,0.15607,0.01874,0.00296,-0.98756,-0.24923,-0.00749,-0.00431,0.96841,0.00000,0.00000,1.00,1.00
111,Fixation,111,0.00,0.00,0.09496,-0.01115,0.00505,-0.99541,0.15614,-0.00899,-0.00142,-0.98769,-0.24915,0.02088,-0.00268,0.96824,0.15604,0.01912,0.00302,-0.98756,-0.24923,-0.00753,-0.00444,0.96841,0.00000,0.00000,1.00,1.00
122,Fixation,122,0.00,0.00,0.09519,-0.01138,0.00507,-0.99538,0.15590,-0.00876,-0.00138,-0.98773,-0.24915,0.02088,-0.00270,0.96824,0.15580,0.01935,0.00305,-0.98759,-0.24923,-0.00753,-0.00443,0.96841,0.00000,0.00000,1.00,1.00
134,Fixation,134,0.00,0.00,0.09559,-0.01170,0.00510,-0.99534,0.15589,-0.00950,-0.00150,-0.98773,-0.24951,0.02195,-0.00263,0.96812,0.15580,0.01861,0.00294,-0.98761,-0.24961,-0.00645,-0.00435,0.96832,0.00000,0.00000,1.00,1.00
144,Fixation,144,0.00,0.00,0.09577,-0.01205,0.00526,-0.99532,0.15571,-0.00910,-0.00143,-0.98776,-0.24951,0.02192,-0.00276,0.96812,0.15562,0.01901,0.00299,-0.98763,-0.24961,-0.00648,-0.00448,0.96831,0.00000,0.00000,1.00,1.00
155,Fixation,155,0.00,0.00,0.09574,-0.01249,0.00553,-0.99531,0.15575,-0.00856,-0.00135,-0.98776,-0.24952,0.02186,-0.00300,0.96812,0.15564,0.01954,0.00308,-0.98762,-0.24961,-0.00655,-0.00472,0.96831,0.00000,0.00000,1.00,1.00
167,Fixation,167,0.00,0.00,0.09563,-0.01293,0.00562,-0.99532,0.15640,-0.00724,-0.00115,-0.98767,-0.25006,0.02097,-0.00308,0.96800,0.15626,0.02087,0.00330,-0.98749,-0.25012,-0.00744,-0.00482,0.96817,0.00000,0.00000,1.00,1.00
177,Fixation,177,0.00,0.00,0.09554,-0.01330,0.00566,-0.99532,0.15648,-0.00688,-0.00109,-0.98766,-0.25006,0.02097,-0.00308,0.96800,0.15635,0.02123,0.00336,-0.98747,-0.25012,-0.00744,-0.00482,0.96817,0.00000,0.00000,1.00,1.00
189,Fixation,189,0.00,0.00,0.09585,-0.01368,0.00534,-0.99529,0.15616,-0.00665,-0.00105,-0.98771,-0.25005,0.02106,-0.00273,0.96800,0.15604,0.02146,0.00339,-0.98751,-0.25012,-0.00735,-0.00446,0.96818,0.00000,0.00000,1.00,1.00
201,Fixation,201,0.00,0.00,0.09682,-0.01387,0.00451,-0.99520,0.15520,-0.00792,-0.00124,-0.98785,-0.25004,0.02241,-0.00183,0.96797,0.15515,0.02018,0.00317,-0.98768,-0.25016,-0.00599,-0.00350,0.96818,0.00000,0.00000,1.00,1.00
210,Fixation,210,0.00,0.00,0.09779,-0.01411,0.00380,-0.99510,0.15422,-0.00798,-0.00125,-0.98800,-0.25003,0.02259,-0.00112,0.96797,0.15420,0.02011,0.00314,-0.98783,-0.25016,-0.00579,-0.00273,0.96818,0.00000,0.00000,1.00,1.00
221,Fixation,221,0.00,0.00,0.09838,-0.01449,0.00329,-0.99504,0.15361,-0.00782,-0.00122,-0.98810,-0.25002,0.02273,-0.00058,0.96798,0.15363,0.02026,0.00315,-0.98792,-0.25017,-0.00564,-0.00216,0.96818,0.00000,0.00000,1.00,1.00
233,Fixation,233,0.00,0.00,0.09804,-0.01501,0.00329,-0.99506,0.15394,-0.00733,-0.00114,-0.98805,-0.25001,0.02275,-0.00052,0.96798,0.15396,0.02075,0.00323,-0.98785,-0.25017,-0.00563,-0.00212,0.96818,0.00000,0.00000,1.00,1.00
243,Fixation,243,0.00,0.00,0.09729,-0.01537,0.00344,-0.99513,0.15278,-0.00526,-0.00081,-0.98825,-0.24815,0.02103,-0.00075,0.96849,0.15270,0.02280,0.00352,-0.98800,-0.24821,-0.00733,-0.00234,0.96867,0.00000,0.00000,1.00,1.00
