Time_ms,LeftRotX,LeftRotY,LeftRotZ,LeftRotW,LeftConfidence,RightRotX,RightRotY,RightRotZ,RightRotW,RightConfidence
41380,-0.11008,-0.00340,-0.03424,0.99333,1.00,-0.11021,-0.03080,-0.03734,0.99273,1.00
41394,-0.11008,-0.00340,-0.03421,0.99333,1.00,-0.11021,-0.03079,-0.03732,0.99273,1.00
41408,-0.10987,-0.00068,-0.03378,0.99337,1.00,-0.11004,-0.02809,-0.03690,0.99284,1.00
41422,-0.10987,-0.00067,-0.03368,0.99338,1.00,-0.11004,-0.02808,-0.03680,0.99285,1.00
41436,-0.10987,-0.00066,-0.03358,0.99338,1.00,-0.11005,-0.02807,-0.03671,0.99285,1.00
41450,-0.10566,0.00046,-0.03339,0.99384,1.00,-0.10589,-0.02692,-0.03641,0.99335,1.00
41464,-0.10566,0.00046,-0.03340,0.99384,1.00,-0.10589,-0.02692,-0.03643,0.99335,1.00
41478,-0.03513,0.01554,-0.03252,0.99873,1.00,-0.03588,-0.01150,-0.03364,0.99872,1.00
41491,-0.03513,0.01554,-0.03243,0.99874,1.00,-0.03588,-0.01150,-0.03355,0.99873,1.00
41505,-0.03491,0.01731,-0.03228,0.99872,1.00,-0.03567,-0.00974,-0.03339,0.99876,1.00
41519,-0.03491,0.01730,-0.03246,0.99871,1.00,-0.03566,-0.00975,-0.03356,0.99875,1.00
41534,-0.03492,0.01729,-0.03271,0.99871,1.00,-0.03566,-0.00976,-0.03381,0.99874,1.00
41547,-0.03761,0.01528,-0.03288,0.99863,1.00,-0.03833,-0.01177,-0.03406,0.99862,1.00
41561,-0.03761,0.01528,-0.03279,0.99864,1.00,-0.03833,-0.01177,-0.03399,0.99862,1.00
41575,-0.03750,0.01652,-0.03265,0.99863,1.00,-0.03824,-0.01054,-0.03386,0.99864,1.00
41589,-0.03750,0.01652,-0.03257,0.99863,1.00,-0.03824,-0.01054,-0.03378,0.99864,1.00
41603,-0.03749,0.01652,-0.03246,0.99863,1.00,-0.03824,-0.01053,-0.03368,0.99865,1.00
41617,-0.03996,0.01679,-0.03228,0.99854,1.00,-0.04070,-0.01028,-0.03356,0.99856,1.00
41631,-0.03995,0.01680,-0.03188,0.99855,1.00,-0.04070,-0.01026,-0.03313,0.99857,1.00
41644,-0.04072,0.01678,-0.03160,0.99853,1.00,-0.04146,-0.01028,-0.03285,0.99855,1.00
41658,-0.04071,0.01680,-0.03130,0.99854,1.00,-0.04146,-0.01027,-0.03254,0.99856,1.00
41672,-0.04752,0.01285,-0.03117,0.99830,1.00,-0.04820,-0.01422,-0.03256,0.99821,1.00
41686,-0.04752,0.01286,-0.03099,0.99831,1.00,-0.04821,-0.01422,-0.03237,0.99821,1.00
41701,-0.04752,0.01286,-0.03087,0.99831,1.00,-0.04821,-0.01421,-0.03224,0.99822,1.00
41714,-0.06772,0.00192,-0.03122,0.99721,1.00,-0.06819,-0.02520,-0.03312,0.99680,1.00
41728,-0.06771,0.00194,-0.03085,0.99723,1.00,-0.06820,-0.02518,-0.03276,0.99682,1.00
41741,-0.06856,0.00045,-0.03053,0.99718,1.00,-0.06903,-0.02667,-0.03243,0.99673,1.00
41755,-0.06856,0.00049,-0.03000,0.99720,1.00,-0.06904,-0.02663,-0.03189,0.99675,1.00
41769,-0.06856,0.00052,-0.02957,0.99721,1.00,-0.06905,-0.02660,-0.03145,0.99676,1.00
41783,-0.06899,-0.00036,-0.02872,0.99720,1.00,-0.06947,-0.02748,-0.03058,0.99674,1.00
41797,-0.06899,-0.00032,-0.02819,0.99722,1.00,-0.06949,-0.02744,-0.03002,0.99675,1.00
41811,-0.06995,0.00161,-0.02782,0.99716,1.00,-0.07041,-0.02553,-0.02968,0.99675,1.00
41825,-0.06995,0.00160,-0.02793,0.99716,1.00,-0.07041,-0.02554,-0.02980,0.99675,1.00
41839,-0.06786,0.00155,-0.02835,0.99729,1.00,-0.06827,-0.02559,-0.03016,0.99688,1.00
41852,-0.06786,0.00155,-0.02848,0.99729,1.00,-0.06827,-0.02560,-0.03031,0.99688,1.00
41867,-0.06786,0.00159,-0.02785,0.99730,1.00,-0.06828,-0.02555,-0.02971,0.99690,1.00
41881,-0.04534,0.06213,-0.02409,0.99675,1.00,-0.04628,0.03503,-0.02543,0.99799,1.00
41894,-0.04529,0.06217,-0.02337,0.99676,1.00,-0.04626,0.03506,-0.02467,0.99801,1.00
41908,-0.03612,0.06066,-0.02341,0.99723,1.00,-0.03703,0.03359,-0.02442,0.99845,1.00
