Time_ms,LeftRotX,LeftRotY,LeftRotZ,LeftRotW,LeftConfidence,RightRotX,RightRotY,RightRotZ,RightRotW,RightConfidence
15912,-0.00160,0.02027,-0.01090,0.99973,1.00,-0.00175,-0.00675,-0.01410,0.99988,1.00
16245,-0.00513,0.01785,-0.00997,0.99978,1.00,-0.00530,-0.00919,-0.01282,0.99986,1.00
16257,-0.00512,0.01785,-0.00980,0.99978,1.00,-0.00530,-0.00919,-0.01265,0.99986,1.00
16271,-0.00539,0.02063,-0.00935,0.99973,1.00,-0.00557,-0.00642,-0.01222,0.99989,1.00
16285,-0.00539,0.02063,-0.00921,0.99973,1.00,-0.00557,-0.00642,-0.01208,0.99989,1.00
16299,-0.00538,0.02064,-0.00901,0.99973,1.00,-0.00557,-0.00641,-0.01187,0.99989,1.00
16313,-0.00555,0.02034,-0.00867,0.99974,1.00,-0.00573,-0.00671,-0.01152,0.99989,1.00
16327,-0.00554,0.02035,-0.00825,0.99974,1.00,-0.00573,-0.00671,-0.01109,0.99990,1.00
16341,-0.00522,0.01991,-0.00785,0.99976,1.00,-0.00540,-0.00714,-0.01066,0.99990,1.00
16355,-0.00521,0.01991,-0.00728,0.99976,1.00,-0.00540,-0.00714,-0.01007,0.99991,1.00
16369,-0.00688,0.01752,-0.00686,0.99980,1.00,-0.00704,-0.00953,-0.00968,0.99988,1.00
16383,-0.00687,0.01753,-0.00626,0.99980,1.00,-0.00704,-0.00952,-0.00909,0.99989,1.00
16397,-0.00686,0.01753,-0.00561,0.99981,1.00,-0.00705,-0.00952,-0.00846,0.99989,1.00
16411,-0.01304,-0.00115,-0.00717,0.99989,1.00,-0.01303,-0.02815,-0.01018,0.99947,1.00
16425,-0.01304,-0.00115,-0.00675,0.99989,1.00,-0.01304,-0.02814,-0.00979,0.99947,1.00
16439,-0.01285,-0.00301,-0.00671,0.99989,1.00,-0.01277,-0.03000,-0.00974,0.99942,1.00
16453,-0.01285,-0.00301,-0.00641,0.99989,1.00,-0.01278,-0.03000,-0.00945,0.99942,1.00
16467,-0.01198,-0.00347,-0.00614,0.99990,1.00,-0.01187,-0.03045,-0.00914,0.99942,1.00
16481,-0.01198,-0.00346,-0.00569,0.99991,1.00,-0.01188,-0.03045,-0.00868,0.99943,1.00
16495,-0.01198,-0.00346,-0.00526,0.99991,1.00,-0.01189,-0.03044,-0.00824,0.99943,1.00
16509,-0.01195,-0.00428,-0.00516,0.99991,1.00,-0.01182,-0.03126,-0.00813,0.99941,1.00
16522,-0.01195,-0.00428,-0.00530,0.99991,1.00,-0.01182,-0.03126,-0.00828,0.99941,1.00
16536,-0.03976,0.00436,-0.00454,0.99919,1.00,-0.03952,-0.02281,-0.00832,0.99892,1.00
16550,-0.03976,0.00436,-0.00454,0.99919,1.00,-0.03952,-0.02281,-0.00831,0.99892,1.00
16564,-0.03976,0.00436,-0.00448,0.99919,1.00,-0.03952,-0.02280,-0.00824,0.99892,1.00
16578,-0.05083,0.00569,-0.00395,0.99868,1.00,-0.05057,-0.02156,-0.00804,0.99846,1.00
16592,-0.05083,0.00570,-0.00390,0.99868,1.00,-0.05057,-0.02155,-0.00798,0.99846,1.00
16606,-0.05239,0.00465,-0.00417,0.99861,1.00,-0.05212,-0.02261,-0.00830,0.99835,1.00
16620,-0.05239,0.00462,-0.00462,0.99861,1.00,-0.05211,-0.02263,-0.00874,0.99835,1.00
16634,-0.05332,0.00513,-0.00493,0.99855,1.00,-0.05304,-0.02214,-0.00906,0.99831,1.00
