Time_ms,LeftBlinkWeight,RightBlinkWeight,LeftConfidence,RightConfidence
0,0.00000,0.00000,1.00,1.00
10,0.00000,0.00000,1.00,1.00
22,0.00000,0.00000,1.00,1.00
32,0.00000,0.00000,1.00,1.00
43,0.00000,0.00000,1.00,1.00
56,0.00000,0.00000,1.00,1.00
66,0.00000,0.00000,1.00,1.00
78,0.00000,0.00000,1.00,1.00
88,0.00000,0.00000,1.00,1.00
99,0.00000,0.00000,1.00,1.00
112,0.00000,0.00000,1.00,1.00
122,0.00000,0.00000,1.00,1.00
133,0.00000,0.00000,1.00,1.00
146,0.00000,0.00000,1.00,1.00
156,0.00000,0.00000,1.00,1.00
168,0.00000,0.00000,1.00,1.00
178,0.00000,0.00000,1.00,1.00
189,0.00000,0.00000,1.00,1.00
200,0.00000,0.00000,1.00,1.00
210,0.00000,0.00000,1.00,1.00
223,0.00000,0.00000,1.00,1.00
233,0.00000,0.00000,1.00,1.00
245,0.00000,0.00000,1.00,1.00
257,0.00000,0.00000,1.00,1.00
267,0.00000,0.00000,1.00,1.00
278,0.00000,0.00000,1.00,1.00
289,0.00000,0.00000,1.00,1.00
300,0.00000,0.00000,1.00,1.00
311,0.00000,0.00000,1.00,1.00
322,0.00000,0.00000,1.00,1.00
334,0.00000,0.00000,1.00,1.00
345,0.00000,0.00000,1.00,1.00
356,0.00000,0.00000,1.00,1.00
368,0.00000,0.00000,1.00,1.00
379,0.00000,0.00000,1.00,1.00
391,0.00000,0.00000,1.00,1.00
400,0.00000,0.00000,1.00,1.00
412,0.00000,0.00000,1.00,1.00
423,0.00000,0.00000,1.00,1.00
434,0.00000,0.00000,1.00,1.00
445,0.00000,0.00000,1.00,1.00
456,0.00000,0.00000,1.00,1.00
468,0.00000,0.00000,1.00,1.00
479,0.00000,0.00000,1.00,1.00
489,0.00000,0.00000,1.00,1.00
501,0.00000,0.00000,1.00,1.00
511,0.00000,0.00000,1.00,1.00
523,0.00000,0.00000,1.00,1.00
534,0.00000,0.00000,1.00,1.00
545,0.00000,0.00000,1.00,1.00
557,0.00000,0.00000,1.00,1.00
567,0.00000,0.00000,1.00,1.00
579,0.00000,0.00000,1.00,1.00
590,0.00000,0.00000,1.00,1.00
600,0.00000,0.00000,1.00,1.00
613,0.00000,0.00000,1.00,1.00
623,0.00000,0.00000,1.00,1.00
635,0.00000,0.00000,1.00,1.00
646,0.00000,0.00000,1.00,1.00
656,0.00000,0.00000,1.00,1.00
669,0.00000,0.00000,1.00,1.00
679,0.00000,0.00000,1.00,1.00
690,0.00000,0.00000,1.00,1.00
702,0.00000,0.00000,1.00,1.00
713,0.00000,0.00000,1.00,1.00
725,0.00000,0.00000,1.00,1.00
735,0.00000,0.00000,1.00,1.00
746,0.00000,0.00000,1.00,1.00
758,0.00000,0.00000,1.00,1.00
768,0.00000,0.00000,1.00,1.00
780,0.00000,0.00000,1.00,1.00
790,0.00000,0.00000,1.00,1.00
802,0.00000,0.00000,1.00,1.00
813,0.00000,0.00000,1.00,1.00
824,0.00000,0.00000,1.00,1.00
836,0.00000,0.00000,1.00,1.00
847,0.00000,0.00000,1.00,1.00
858,0.00000,0.00000,1.00,1.00
869,0.00000,0.00000,1.00,1.00
879,0.00000,0.00000,1.00,1.00
891,0.00000,0.00000,1.00,1.00
902,0.00000,0.00000,1.00,1.00
914,0.00000,0.00000,1.00,1.00
925,0.00000,0.00000,1.00,1.00
936,0.00000,0.00000,1.00,1.00
947,0.00000,0.00000,1.00,1.00
958,0.00000,0.00000,1.00,1.00
969,0.00000,0.00000,1.00,1.00
980,0.00000,0.00000,1.00,1.00
992,0.00000,0.00000,1.00,1.00
1003,0.00000,0.00000,1.00,1.00
1013,0.00000,0.00000,1.00,1.00
1025,0.00000,0.00000,1.00,1.00
1036,0.00000,0.00000,1.00,1.00
1047,0.00000,0.00000,1.00,1.00
1059,0.00000,0.00000,1.00,1.00
1068,0.00000,0.00000,1.00,1.00
1081,0.00000,0.00000,1.00,1.00
1092,0.00000,0.00000,1.00,1.00
1103,0.00000,0.00000,1.00,1.00
1113,0.00000,0.00000,1.00,1.00
1124,0.00000,0.00000,1.00,1.00
1136,0.00000,0.00000,1.00,1.00
1147,0.00000,0.00000,1.00,1.00
1158,0.00000,0.00000,1.00,1.00
1169,0.00000,0.00000,1.00,1.00
1180,0.00000,0.00000,1.00,1.00
1192,0.00000,0.00000,1.00,1.00
1203,0.00000,0.00000,1.00,1.00
1213,0.00000,0.00000,1.00,1.00
1225,0.00000,0.00000,1.00,1.00
1235,0.00000,0.00000,1.00,1.00
1247,0.00000,0.00000,1.00,1.00
1259,0.00000,0.00000,1.00,1.00
1270,0.00000,0.00000,1.00,1.00
1281,0.00000,0.00000,1.00,1.00
1291,0.00000,0.00000,1.00,1.00
1303,0.00000,0.00000,1.00,1.00
1315,0.00000,0.00000,1.00,1.00
1325,0.00000,0.00000,1.00,1.00
1336,0.00000,0.00000,1.00,1.00
1347,0.00000,0.00000,1.00,1.00
1359,0.00000,0.00000,1.00,1.00
1370,0.00000,0.00000,1.00,1.00
1381,0.00000,0.00000,1.00,1.00
1392,0.00000,0.00000,1.00,1.00
1403,0.00000,0.00000,1.00,1.00
1414,0.00000,0.00000,1.00,1.00
1426,0.00000,0.00000,1.00,1.00
1437,0.00000,0.00000,1.00,1.00
1448,0.00000,0.00000,1.00,1.00
1458,0.00000,0.00000,1.00,1.00
1470,0.00000,0.00000,1.00,1.00
1481,0.00000,0.00000,1.00,1.00
1492,0.00000,0.00000,1.00,1.00
1503,0.00000,0.00000,1.00,1.00
1514,0.00000,0.00000,1.00,1.00
1526,0.00000,0.00000,1.00,1.00
1537,0.00000,0.00000,1.00,1.00
1548,0.00000,0.00000,1.00,1.00
1560,0.00000,0.00000,1.00,1.00
1570,0.00000,0.00000,1.00,1.00
1581,0.00000,0.00000,1.00,1.00
1593,0.00000,0.00000,1.00,1.00
1603,0.00000,0.00000,1.00,1.00
1616,0.00000,0.00000,1.00,1.00
1625,0.00000,0.00000,1.00,1.00
1638,0.00000,0.00000,1.00,1.00
1648,0.00000,0.00000,1.00,1.00
1660,0.00000,0.00000,1.00,1.00
1670,0.00000,0.00000,1.00,1.00
1681,0.00000,0.00000,1.00,1.00
1693,0.00000,0.00000,1.00,1.00
1704,0.00000,0.00000,1.00,1.00
1715,0.00000,0.00000,1.00,1.00
1727,0.00000,0.00000,1.00,1.00
1737,0.00000,0.00000,1.00,1.00
