Time_ms,HeadRotX,HeadRotY,HeadRotZ,HeadRotW,LeftLocalRotX,LeftLocalRotY,LeftLocalRotZ,LeftLocalRotW,LeftWorldRotX,LeftWorldRotY,LeftWorldRotZ,LeftWorldRotW,LeftConfidence,RightLocalRotX,RightLocalRotY,RightLocalRotZ,RightLocalRotW,RightWorldRotX,RightWorldRotY,RightWorldRotZ,RightWorldRotW,RightConfidence
0,-0.01400,-0.00292,0.00458,-0.99989,-0.08510,-0.00184,0.00016,-0.99637,0.09905,0.00436,-0.00494,0.99506,1.00,-0.08497,0.02552,-0.00218,-0.99605,0.09880,-0.02304,-0.00299,0.99484,1.00
10,-0.01398,-0.00277,0.00466,-0.99989,-0.08512,-0.00200,0.00017,-0.99637,0.09905,0.00437,-0.00502,0.99506,1.00,-0.08500,0.02537,-0.00216,-0.99606,0.09880,-0.02303,-0.00307,0.99484,1.00
22,-0.01390,-0.00272,0.00470,-0.99989,-0.08403,-0.00241,0.00020,-0.99646,0.09788,0.00473,-0.00508,0.99517,1.00,-0.08392,0.02495,-0.00210,-0.99616,0.09764,-0.02265,-0.00315,0.99496,1.00
33,-0.01383,-0.00260,0.00479,-0.99989,-0.08397,-0.00340,0.00029,-0.99646,0.09776,0.00559,-0.00523,0.99518,1.00,-0.08387,0.02396,-0.00202,-0.99619,0.09752,-0.02180,-0.00330,0.99499,1.00
44,-0.01360,-0.00250,0.00484,-0.99989,-0.08420,-0.00350,0.00030,-0.99644,0.09776,0.00559,-0.00528,0.99518,1.00,-0.08410,0.02386,-0.00201,-0.99617,0.09752,-0.02180,-0.00335,0.99499,1.00
55,-0.01339,-0.00236,0.00490,-0.99990,-0.08319,-0.00449,0.00037,-0.99652,0.09655,0.00643,-0.00540,0.99529,1.00,-0.08310,0.02287,-0.00191,-0.99628,0.09632,-0.02095,-0.00348,0.99512,1.00
66,-0.01302,-0.00222,0.00504,-0.99990,-0.08340,-0.00450,0.00038,-0.99651,0.09639,0.00630,-0.00553,0.99531,1.00,-0.08331,0.02285,-0.00191,-0.99626,0.09617,-0.02108,-0.00360,0.99514,1.00
77,-0.01274,-0.00202,0.00516,-0.99990,-0.08368,-0.00472,0.00040,-0.99648,0.09639,0.00631,-0.00565,0.99531,1.00,-0.08360,0.02263,-0.00190,-0.99624,0.09617,-0.02107,-0.00370,0.99514,1.00
88,-0.01237,-0.00190,0.00544,-0.99991,-0.08465,-0.00218,0.00019,-0.99641,0.09698,0.00362,-0.00574,0.99526,1.00,-0.08454,0.02518,-0.00214,-0.99610,0.09672,-0.02377,-0.00375,0.99502,1.00
101,-0.01211,-0.00180,0.00565,-0.99991,-0.08456,-0.00210,0.00018,-0.99642,0.09663,0.00342,-0.00593,0.99530,1.00,-0.08445,0.02526,-0.00214,-0.99611,0.09637,-0.02396,-0.00394,0.99505,1.00
111,-0.01195,-0.00171,0.00592,-0.99991,-0.08472,-0.00224,0.00019,-0.99640,0.09663,0.00345,-0.00621,0.99530,1.00,-0.08463,0.02512,-0.00213,-0.99609,0.09638,-0.02394,-0.00421,0.99505,1.00
122,-0.01183,-0.00176,0.00607,-0.99991,-0.08364,-0.00277,0.00023,-0.99649,0.09544,0.00402,-0.00639,0.99541,1.00,-0.08356,0.02459,-0.00206,-0.99620,0.09519,-0.02336,-0.00442,0.99517,1.00
134,-0.01179,-0.00182,0.00612,-0.99991,-0.08331,-0.00283,0.00024,-0.99652,0.09507,0.00414,-0.00646,0.99544,1.00,-0.08322,0.02452,-0.00205,-0.99623,0.09481,-0.02324,-0.00449,0.99521,1.00
144,-0.01175,-0.00201,0.00622,-0.99991,-0.08334,-0.00266,0.00022,-0.99652,0.09507,0.00415,-0.00656,0.99544,1.00,-0.08326,0.02469,-0.00206,-0.99622,0.09481,-0.02323,-0.00459,0.99521,1.00
