Time_ms,TargetRotX,TargetRotY,HeadRotX,HeadRotY,HeadRotZ,HeadRotW,LeftLocalRotX,LeftLocalRotY,LeftLocalRotZ,LeftLocalRotW,LeftWorldRotX,LeftWorldRotY,LeftWorldRotZ,LeftWorldRotW,LeftConfidence,RightLocalRotX,RightLocalRotY,RightLocalRotZ,RightLocalRotW,RightWorldRotX,RightWorldRotY,RightWorldRotZ,RightWorldRotW,RightConfidence
0,0.00,0.00,-0.00613,0.01015,0.00316,-0.99992,-0.07867,-0.02444,0.00193,-0.99660,0.08487,0.01408,-0.00413,0.99628,1.00,-0.07878,0.00288,-0.00023,-0.99689,0.08487,-0.01325,-0.00214,0.99630,1.00
12,0.00,0.00,-0.00623,0.01008,0.00307,-0.99993,-0.07857,-0.02435,0.00192,-0.99661,0.08487,0.01408,-0.00404,0.99628,1.00,-0.07868,0.00297,-0.00023,-0.99690,0.08486,-0.01326,-0.00206,0.99630,1.00
22,0.00,0.00,-0.00646,0.00999,0.00299,-0.99992,-0.08084,-0.02449,0.00199,-0.99642,0.08737,0.01430,-0.00400,0.99607,1.00,-0.08095,0.00285,-0.00023,-0.99671,0.08737,-0.01305,-0.00196,0.99609,1.00
33,0.00,0.00,-0.00656,0.01000,0.00285,-0.99992,-0.08078,-0.02595,0.00210,-0.99639,0.08741,0.01577,-0.00397,0.99604,1.00,-0.08090,0.00138,-0.00011,-0.99672,0.08743,-0.01158,-0.00193,0.99610,1.00
44,0.00,0.00,-0.00659,0.01010,0.00272,-0.99992,-0.08075,-0.02603,0.00211,-0.99639,0.08741,0.01576,-0.00384,0.99604,1.00,-0.08086,0.00131,-0.00011,-0.99672,0.08742,-0.01159,-0.00180,0.99610,1.00
56,0.00,0.00,-0.00608,0.01026,0.00260,-0.99993,-0.08182,-0.02482,0.00204,-0.99634,0.08797,0.01439,-0.00364,0.99601,1.00,-0.08192,0.00252,-0.00021,-0.99664,0.08797,-0.01296,-0.00156,0.99604,1.00
67,0.00,0.00,-0.00542,0.01042,0.00260,-0.99993,-0.08254,-0.02506,0.00208,-0.99627,0.08802,0.01448,-0.00367,0.99601,1.00,-0.08265,0.00229,-0.00019,-0.99658,0.08803,-0.01289,-0.00155,0.99603,1.00
77,0.00,0.00,-0.00475,0.01063,0.00260,-0.99993,-0.08320,-0.02528,0.00211,-0.99621,0.08802,0.01448,-0.00370,0.99601,1.00,-0.08331,0.00207,-0.00017,-0.99652,0.08803,-0.01289,-0.00155,0.99603,1.00
88,0.00,0.00,-0.00424,0.01078,0.00267,-0.99993,-0.08241,-0.02522,0.00209,-0.99628,0.08671,0.01427,-0.00375,0.99612,1.00,-0.08252,0.00213,-0.00018,-0.99659,0.08673,-0.01309,-0.00160,0.99614,1.00
100,0.00,0.00,-0.00390,0.01093,0.00270,-0.99993,-0.08193,-0.02535,0.00208,-0.99631,0.08590,0.01425,-0.00378,0.99620,1.00,-0.08205,0.00199,-0.00016,-0.99663,0.08592,-0.01311,-0.00163,0.99621,1.00
111,0.00,0.00,-0.00376,0.01107,0.00277,-0.99993,-0.08206,-0.02550,0.00210,-0.99630,0.08590,0.01425,-0.00386,0.99619,1.00,-0.08219,0.00185,-0.00015,-0.99661,0.08592,-0.01310,-0.00170,0.99621,1.00
122,0.00,0.00,-0.00330,0.01113,0.00284,-0.99993,-0.08214,-0.02527,0.00208,-0.99630,0.08551,0.01395,-0.00391,0.99623,1.00,-0.08227,0.00207,-0.00017,-0.99661,0.08554,-0.01340,-0.00175,0.99624,1.00
134,0.00,0.00,-0.00311,0.01114,0.00290,-0.99993,-0.08187,-0.02533,0.00208,-0.99632,0.08505,0.01400,-0.00398,0.99627,1.00,-0.08200,0.00201,-0.00017,-0.99663,0.08509,-0.01335,-0.00182,0.99628,1.00
145,0.00,0.00,-0.00319,0.01102,0.00302,-0.99993,-0.08179,-0.02523,0.00207,-0.99633,0.08505,0.01401,-0.00409,0.99627,1.00,-0.08193,0.00211,-0.00017,-0.99664,0.08509,-0.01334,-0.00194,0.99628,1.00
156,0.00,0.00,-0.00331,0.01095,0.00297,-0.99993,-0.08113,-0.02538,0.00207,-0.99638,0.08452,0.01423,-0.00406,0.99631,1.00,-0.08127,0.00196,-0.00016,-0.99669,0.08455,-0.01312,-0.00192,0.99633,1.00
167,0.00,0.00,-0.00305,0.01086,0.00279,-0.99993,-0.08107,-0.02518,0.00205,-0.99639,0.08420,0.01414,-0.00387,0.99634,1.00,-0.08120,0.00216,-0.00018,-0.99670,0.08422,-0.01321,-0.00173,0.99636,1.00
179,0.00,0.00,-0.00275,0.01086,0.00266,-0.99993,-0.08137,-0.02516,0.00206,-0.99636,0.08420,0.01413,-0.00375,0.99634,1.00,-0.08149,0.00218,-0.00018,-0.99667,0.08422,-0.01322,-0.00160,0.99636,1.00
190,0.00,0.00,-0.00227,0.01078,0.00273,-0.99994,-0.08135,-0.02444,0.00200,-0.99638,0.08369,0.01348,-0.00378,0.99639,1.00,-0.08146,0.00290,-0.00024,-0.99667,0.08370,-0.01387,-0.00161,0.99639,1.00
200,0.00,0.00,-0.00174,0.01077,0.00265,-0.99994,-0.08196,-0.02448,0.00201,-0.99633,0.08377,0.01353,-0.00373,0.99639,1.00,-0.08207,0.00287,-0.00024,-0.99662,0.08379,-0.01382,-0.00152,0.99639,1.00
211,0.00,0.00,-0.00140,0.01066,0.00270,-0.99994,-0.08229,-0.02438,0.00201,-0.99631,0.08377,0.01354,-0.00380,0.99639,1.00,-0.08241,0.00297,-0.00025,-0.99659,0.08379,-0.01382,-0.00157,0.99639,1.00
223,0.00,0.00,-0.00111,0.01071,0.00270,-0.99994,-0.08183,-0.02414,0.00198,-0.99635,0.08302,0.01325,-0.00377,0.99645,1.00,-0.08195,0.00320,-0.00026,-0.99663,0.08303,-0.01410,-0.00155,0.99645,1.00
