Time_ms,HeadRotX,HeadRotY,HeadRotZ,HeadRotW,LeftLocalRotX,LeftLocalRotY,LeftLocalRotZ,LeftLocalRotW,LeftWorldRotX,LeftWorldRotY,LeftWorldRotZ,LeftWorldRotW,LeftConfidence,RightLocalRotX,RightLocalRotY,RightLocalRotZ,RightLocalRotW,RightWorldRotX,RightWorldRotY,RightWorldRotZ,RightWorldRotW,RightConfidence
0,-0.03860,0.00403,0.01110,-0.99919,-0.05193,-0.02345,0.00122,-0.99837,0.09069,0.01888,-0.01118,0.99564,1.00,-0.05201,0.00373,-0.00019,-0.99864,0.09048,-0.00833,-0.01082,0.99581,1.00
333,-0.03526,0.00470,0.00919,-0.99933,-0.05536,-0.01455,0.00081,-0.99836,0.09066,0.00937,-0.00920,0.99580,1.00,-0.05536,0.01265,-0.00070,-0.99839,0.09041,-0.01786,-0.00866,0.99571,1.00
342,-0.03518,0.00466,0.00913,-0.99933,-0.05708,-0.01411,0.00081,-0.99827,0.09229,0.00896,-0.00916,0.99565,1.00,-0.05708,0.01309,-0.00075,-0.99828,0.09203,-0.01828,-0.00856,0.99555,1.00
352,-0.03515,0.00462,0.00912,-0.99933,-0.05711,-0.01408,0.00081,-0.99827,0.09229,0.00896,-0.00915,0.99565,1.00,-0.05710,0.01313,-0.00075,-0.99828,0.09203,-0.01828,-0.00856,0.99555,1.00
363,-0.03517,0.00459,0.00908,-0.99933,-0.05688,-0.01403,0.00080,-0.99828,0.09208,0.00895,-0.00911,0.99567,1.00,-0.05688,0.01318,-0.00075,-0.99829,0.09183,-0.01830,-0.00852,0.99557,1.00
375,-0.03522,0.00453,0.00907,-0.99933,-0.05582,-0.01399,0.00078,-0.99834,0.09108,0.00898,-0.00909,0.99576,1.00,-0.05582,0.01321,-0.00074,-0.99835,0.09083,-0.01826,-0.00853,0.99566,1.00
386,-0.03523,0.00448,0.00906,-0.99933,-0.05547,-0.01432,0.00080,-0.99836,0.09074,0.00936,-0.00909,0.99579,1.00,-0.05548,0.01288,-0.00072,-0.99838,0.09049,-0.01788,-0.00854,0.99570,1.00
396,-0.03519,0.00440,0.00905,-0.99933,-0.05552,-0.01423,0.00079,-0.99836,0.09074,0.00936,-0.00908,0.99579,1.00,-0.05552,0.01297,-0.00072,-0.99837,0.09049,-0.01788,-0.00853,0.99570,1.00
408,-0.03508,0.00437,0.00909,-0.99933,-0.05559,-0.01536,0.00086,-0.99834,0.09072,0.01051,-0.00915,0.99578,1.00,-0.05560,0.01184,-0.00066,-0.99838,0.09048,-0.01673,-0.00859,0.99572,1.00
419,-0.03497,0.00433,0.00912,-0.99934,-0.05565,-0.01431,0.00080,-0.99835,0.09066,0.00950,-0.00916,0.99579,1.00,-0.05565,0.01289,-0.00072,-0.99837,0.09041,-0.01774,-0.00859,0.99571,1.00
430,-0.03477,0.00421,0.00916,-0.99934,-0.05584,-0.01420,0.00079,-0.99834,0.09066,0.00951,-0.00921,0.99579,1.00,-0.05585,0.01300,-0.00073,-0.99835,0.09041,-0.01773,-0.00864,0.99571,1.00
441,-0.03461,0.00414,0.00916,-0.99935,-0.05611,-0.01323,0.00074,-0.99834,0.09075,0.00860,-0.00920,0.99579,1.00,-0.05611,0.01397,-0.00079,-0.99833,0.09050,-0.01864,-0.00861,0.99569,1.00
452,-0.03448,0.00411,0.00919,-0.99935,-0.05624,-0.01320,0.00074,-0.99833,0.09075,0.00860,-0.00923,0.99579,1.00,-0.05624,0.01400,-0.00079,-0.99832,0.09050,-0.01864,-0.00863,0.99569,1.00
463,-0.03438,0.00400,0.00918,-0.99936,-0.05666,-0.01318,0.00075,-0.99831,0.09106,0.00868,-0.00923,0.99576,1.00,-0.05666,0.01403,-0.00080,-0.99829,0.09081,-0.01856,-0.00863,0.99566,1.00
475,-0.03425,0.00395,0.00922,-0.99936,-0.05659,-0.01350,0.00077,-0.99831,0.09088,0.00905,-0.00929,0.99578,1.00,-0.05659,0.01370,-0.00078,-0.99830,0.09062,-0.01819,-0.00868,0.99568,1.00
