Time_ms,TargetRotX,TargetRotY,LeftRotX,LeftRotY,LeftRotZ,LeftRotW,LeftConfidence,RightRotX,RightRotY,RightRotZ,RightRotW,RightConfidence
47926,0.00,0.00,-0.04390,0.01744,0.01622,0.99875,1.00,-0.04317,-0.00960,0.01423,0.99892,1.00
47940,0.00,0.00,-0.04394,0.01948,0.01638,0.99871,1.00,-0.04322,-0.00756,0.01440,0.99893,1.00
47954,0.00,0.00,-0.04394,0.01949,0.01649,0.99871,1.00,-0.04323,-0.00756,0.01451,0.99893,1.00
47968,0.00,0.00,-0.04447,0.01958,0.01651,0.99868,1.00,-0.04376,-0.00747,0.01452,0.99891,1.00
47982,0.00,0.00,-0.04447,0.01958,0.01657,0.99868,1.00,-0.04376,-0.00747,0.01457,0.99891,1.00
47996,0.00,0.00,-0.04494,0.01949,0.01659,0.99866,1.00,-0.04423,-0.00757,0.01458,0.99889,1.00
48010,0.00,0.00,-0.04494,0.01949,0.01669,0.99866,1.00,-0.04423,-0.00756,0.01468,0.99889,1.00
48024,0.00,0.00,-0.04494,0.01949,0.01671,0.99866,1.00,-0.04423,-0.00756,0.01470,0.99888,1.00
48038,0.00,0.00,-0.04567,0.01872,0.01668,0.99864,1.00,-0.04495,-0.00833,0.01464,0.99885,1.00
48052,0.00,0.00,-0.04567,0.01872,0.01661,0.99864,1.00,-0.04495,-0.00834,0.01457,0.99885,1.00
48066,0.00,0.00,-0.04747,0.01853,0.01660,0.99856,1.00,-0.04673,-0.00853,0.01451,0.99877,1.00
48080,0.00,0.00,-0.04747,0.01853,0.01663,0.99856,1.00,-0.04673,-0.00853,0.01455,0.99877,1.00
48093,0.00,0.00,-0.04746,0.01854,0.01674,0.99856,1.00,-0.04673,-0.00852,0.01466,0.99876,1.00
48107,0.00,0.00,-0.04745,0.01896,0.01698,0.99855,1.00,-0.04673,-0.00811,0.01491,0.99876,1.00
48121,0.00,0.00,-0.04745,0.01896,0.01707,0.99855,1.00,-0.04673,-0.00810,0.01499,0.99876,1.00
48135,0.00,0.00,-0.04749,0.01911,0.01719,0.99854,1.00,-0.04677,-0.00796,0.01510,0.99876,1.00
48149,0.00,0.00,-0.04749,0.01911,0.01730,0.99854,1.00,-0.04677,-0.00795,0.01520,0.99876,1.00
48163,0.00,0.00,-0.04797,0.01958,0.01744,0.99850,1.00,-0.04724,-0.00749,0.01534,0.99874,1.00
48177,0.00,0.00,-0.04797,0.01958,0.01745,0.99850,1.00,-0.04724,-0.00749,0.01534,0.99874,1.00
48191,0.00,0.00,-0.04797,0.01958,0.01739,0.99851,1.00,-0.04724,-0.00749,0.01527,0.99874,1.00
48205,0.00,0.00,-0.04794,0.02184,0.01768,0.99846,1.00,-0.04723,-0.00525,0.01557,0.99875,1.00
48219,0.00,0.00,-0.04794,0.02185,0.01788,0.99845,1.00,-0.04723,-0.00524,0.01577,0.99875,1.00
48233,0.00,0.00,-0.04925,0.02125,0.01800,0.99840,1.00,-0.04854,-0.00585,0.01586,0.99868,1.00
48247,0.00,0.00,-0.04925,0.02125,0.01802,0.99840,1.00,-0.04854,-0.00584,0.01588,0.99868,1.00
48261,0.00,0.00,-0.04925,0.02126,0.01825,0.99839,1.00,-0.04854,-0.00583,0.01612,0.99867,1.00
48274,0.00,0.00,-0.09909,-0.00116,0.01711,0.99493,1.00,-0.09784,-0.02846,0.01360,0.99470,1.00
48288,0.00,0.00,-0.09909,-0.00114,0.01735,0.99493,1.00,-0.09785,-0.02844,0.01386,0.99470,1.00
48302,0.00,0.00,-0.09920,-0.00290,0.01763,0.99491,1.00,-0.09793,-0.03020,0.01412,0.99463,1.00
48316,0.00,0.00,-0.09920,-0.00287,0.01797,0.99490,1.00,-0.09794,-0.03017,0.01441,0.99463,1.00
48330,0.00,0.00,-0.09266,-0.00388,0.01816,0.99552,1.00,-0.09142,-0.03113,0.01476,0.99522,1.00
48344,0.00,0.00,-0.09266,-0.00386,0.01840,0.99552,1.00,-0.09143,-0.03111,0.01499,0.99521,1.00
48358,0.00,0.00,-0.09266,-0.00380,0.01901,0.99551,1.00,-0.09145,-0.03106,0.01559,0.99520,1.00
48372,0.00,0.00,-0.09195,-0.00503,0.01962,0.99556,1.00,-0.09072,-0.03228,0.01623,0.99522,1.00
48386,0.00,0.00,-0.09196,-0.00494,0.02053,0.99554,1.00,-0.09075,-0.03219,0.01716,0.99521,1.00
48400,0.00,0.00,-0.09405,-0.00379,0.02146,0.99533,1.00,-0.09283,-0.03108,0.01806,0.99503,1.00
48414,0.00,0.00,-0.09405,-0.00373,0.02206,0.99532,1.00,-0.09285,-0.03102,0.01868,0.99502,1.00
