Time_ms,TargetRotY,LeftRotX,LeftRotY,LeftRotZ,LeftRotW,LeftConfidence,RightRotX,RightRotY,RightRotZ,RightRotW,RightConfidence
14116,0.00000,0.00883,-0.03690,-0.01962,0.99909,1.00,0.00840,-0.06384,-0.02051,0.99771,1.00
14449,12.36742,0.00409,-0.03193,-0.01866,0.99931,1.00,0.00368,-0.05889,-0.01973,0.99806,1.00
14464,12.80612,0.04059,-0.03036,-0.01738,0.99856,1.00,0.04000,-0.05736,-0.01747,0.99740,1.00
14477,13.20924,0.04059,-0.03037,-0.01722,0.99857,1.00,0.03999,-0.05737,-0.01730,0.99740,1.00
14491,13.62063,0.04058,-0.03038,-0.01700,0.99857,1.00,0.03997,-0.05737,-0.01707,0.99741,1.00
14504,14.01395,0.04139,0.02579,-0.01672,0.99867,1.00,0.04096,-0.00127,-0.01680,0.99902,1.00
14519,14.41733,0.04138,0.02580,-0.01683,0.99867,1.00,0.04096,-0.00127,-0.01690,0.99902,1.00
14533,14.79957,0.02762,0.02596,-0.01662,0.99914,1.00,0.02718,-0.00108,-0.01705,0.99948,1.00
14547,15.17124,0.02762,0.02597,-0.01682,0.99914,1.00,0.02718,-0.00108,-0.01724,0.99948,1.00
14561,15.53670,-0.03880,-0.01626,-0.01882,0.99894,1.00,-0.03908,-0.04340,-0.02100,0.99807,1.00
14575,15.88134,-0.03880,-0.01626,-0.01887,0.99894,1.00,-0.03908,-0.04340,-0.02105,0.99807,1.00
14590,16.23263,-0.03880,-0.01626,-0.01879,0.99894,1.00,-0.03908,-0.04340,-0.02096,0.99807,1.00
14603,16.54136,-0.04887,-0.01643,-0.01883,0.99849,1.00,-0.04913,-0.04362,-0.02127,0.99761,1.00
14617,16.84612,-0.04888,-0.01642,-0.01868,0.99850,1.00,-0.04914,-0.04361,-0.02112,0.99762,1.00
14631,17.13960,-0.04938,-0.01649,-0.01865,0.99847,1.00,-0.04964,-0.04368,-0.02110,0.99759,1.00
14645,17.42196,-0.04938,-0.01649,-0.01863,0.99847,1.00,-0.04965,-0.04368,-0.02108,0.99759,1.00
14659,17.69147,-0.04938,-0.01649,-0.01860,0.99847,1.00,-0.04965,-0.04368,-0.02105,0.99759,1.00
14673,17.94498,-0.04932,-0.01653,-0.01851,0.99847,1.00,-0.04958,-0.04372,-0.02096,0.99759,1.00
14687,18.18551,-0.04932,-0.01652,-0.01845,0.99848,1.00,-0.04958,-0.04371,-0.02089,0.99759,1.00
14701,18.40901,-0.04964,-0.01614,-0.01828,0.99847,1.00,-0.04991,-0.04333,-0.02073,0.99760,1.00
14715,18.61876,-0.04964,-0.01613,-0.01817,0.99847,1.00,-0.04991,-0.04332,-0.02063,0.99760,1.00
14729,18.81501,-0.05064,-0.01494,-0.01799,0.99844,1.00,-0.05091,-0.04214,-0.02049,0.99760,1.00
14742,18.99461,-0.05064,-0.01494,-0.01798,0.99844,1.00,-0.05091,-0.04214,-0.02050,0.99760,1.00
14757,19.16911,-0.05064,-0.01493,-0.01790,0.99844,1.00,-0.05091,-0.04213,-0.02043,0.99760,1.00
14770,19.31568,-0.05229,-0.01416,-0.01785,0.99837,1.00,-0.05254,-0.04137,-0.02044,0.99755,1.00
14784,19.45019,-0.05229,-0.01416,-0.01779,0.99837,1.00,-0.05255,-0.04137,-0.02037,0.99755,1.00
14798,19.57355,-0.04951,0.01483,-0.01497,0.99855,1.00,-0.05003,-0.01239,-0.01752,0.99852,1.00
14812,19.68068,-0.04951,0.01482,-0.01526,0.99855,1.00,-0.05003,-0.01241,-0.01782,0.99851,1.00
14826,19.77195,-0.04959,0.14287,-0.00292,0.98849,1.00,-0.05128,0.11688,-0.00537,0.99181,1.00
14840,19.84740,-0.04959,0.14287,-0.00287,0.98849,1.00,-0.05128,0.11688,-0.00533,0.99181,1.00
14854,19.90944,-0.04955,0.14288,-0.00263,0.98849,1.00,-0.05125,0.11689,-0.00508,0.99181,1.00
14868,19.95459,-0.05048,0.15754,-0.00087,0.98622,1.00,-0.05234,0.13182,-0.00330,0.98989,1.00
14882,19.98419,-0.05047,0.15754,-0.00084,0.98622,1.00,-0.05234,0.13182,-0.00328,0.98989,1.00
14896,19.99858,-0.05023,0.15792,-0.00086,0.98617,1.00,-0.05209,0.13220,-0.00330,0.98985,1.00
14909,19.99758,-0.05023,0.15792,-0.00086,0.98617,1.00,-0.05209,0.13220,-0.00330,0.98985,1.00
14924,19.98054,-0.05023,0.15792,-0.00085,0.98617,1.00,-0.05209,0.13220,-0.00329,0.98985,1.00
14937,19.94865,-0.04986,0.15826,-0.00093,0.98614,1.00,-0.05171,0.13254,-0.00336,0.98982,1.00
14951,19.90128,-0.04988,0.15825,-0.00109,0.98614,1.00,-0.05173,0.13253,-0.00352,0.98982,1.00
14965,19.83797,-0.04926,0.16335,-0.00079,0.98534,1.00,-0.05114,0.13774,-0.00318,0.98914,1.00
14979,19.76101,-0.04931,0.16333,-0.00109,0.98534,1.00,-0.05118,0.13772,-0.00347,0.98914,1.00
14993,19.66636,-0.04963,0.16606,-0.00095,0.98487,1.00,-0.05153,0.14050,-0.00332,0.98873,1.00
15007,19.55828,-0.04964,0.16606,-0.00105,0.98487,1.00,-0.05154,0.14050,-0.00341,0.98873,1.00
15021,19.43013,-0.04966,0.16605,-0.00112,0.98487,1.00,-0.05155,0.14050,-0.00349,0.98873,1.00
15035,19.29226,-0.05171,0.19337,0.00208,0.97976,1.00,-0.05392,0.16843,-0.00023,0.98424,1.00
15049,19.13689,-0.05174,0.19336,0.00195,0.97976,1.00,-0.05394,0.16842,-0.00035,0.98424,1.00
15063,18.96972,-0.05416,0.19630,0.00279,0.97904,1.00,-0.05646,0.17140,0.00045,0.98358,1.00
