Time_ms,TargetRotX,TargetRotY,LeftRotX,LeftRotY,LeftRotZ,LeftRotW,LeftConfidence,RightRotX,RightRotY,RightRotZ,RightRotW,RightConfidence
43217,0.00,0.00,0.00640,-0.02074,-0.03066,0.99929,1.00,0.00568,-0.04772,-0.03204,0.99833,1.00
43231,0.00,0.00,0.00640,-0.02074,-0.03057,0.99930,1.00,0.00567,-0.04772,-0.03195,0.99833,1.00
43245,0.00,0.00,0.00652,-0.02091,-0.03060,0.99929,1.00,0.00580,-0.04789,-0.03198,0.99832,1.00
43259,0.00,0.00,0.00652,-0.02091,-0.03063,0.99929,1.00,0.00580,-0.04789,-0.03201,0.99832,1.00
43273,0.00,0.00,0.00642,-0.02034,-0.03073,0.99930,1.00,0.00571,-0.04732,-0.03212,0.99835,1.00
43287,0.00,0.00,0.00642,-0.02034,-0.03079,0.99930,1.00,0.00571,-0.04731,-0.03218,0.99835,1.00
43301,0.00,0.00,0.00642,-0.02034,-0.03083,0.99930,1.00,0.00571,-0.04731,-0.03223,0.99834,1.00
43315,0.00,0.00,0.00591,-0.02078,-0.03083,0.99929,1.00,0.00520,-0.04775,-0.03224,0.99833,1.00
43329,0.00,0.00,0.00591,-0.02078,-0.03080,0.99929,1.00,0.00520,-0.04775,-0.03221,0.99833,1.00
43343,0.00,0.00,0.00412,-0.02127,-0.03083,0.99929,1.00,0.00342,-0.04824,-0.03228,0.99831,1.00
43357,0.00,0.00,0.00412,-0.02127,-0.03084,0.99929,1.00,0.00342,-0.04824,-0.03229,0.99831,1.00
43371,0.00,0.00,0.00413,-0.02127,-0.03090,0.99929,1.00,0.00342,-0.04824,-0.03234,0.99831,1.00
43384,0.00,0.00,0.00569,-0.02212,-0.03093,0.99926,1.00,0.00497,-0.04909,-0.03232,0.99826,1.00
43398,0.00,0.00,0.00568,-0.02212,-0.03089,0.99926,1.00,0.00497,-0.04909,-0.03228,0.99826,1.00
43412,0.00,0.00,0.00551,-0.02243,-0.03092,0.99926,1.00,0.00480,-0.04940,-0.03231,0.99824,1.00
43426,0.00,0.00,0.00551,-0.02243,-0.03102,0.99925,1.00,0.00480,-0.04940,-0.03242,0.99824,1.00
43440,0.00,0.00,0.01903,-0.02272,-0.03105,0.99908,1.00,0.01826,-0.04967,-0.03209,0.99808,1.00
43454,0.00,0.00,0.01904,-0.02271,-0.03134,0.99907,1.00,0.01828,-0.04967,-0.03237,0.99807,1.00
43469,0.00,0.00,0.01905,-0.02270,-0.03177,0.99906,1.00,0.01830,-0.04966,-0.03279,0.99806,1.00
43482,0.00,0.00,0.05917,0.04751,-0.03115,0.99663,1.00,0.05855,0.02048,-0.03121,0.99759,1.00
