Time_ms,TargetRotX,TargetRotY,LeftRotX,LeftRotY,LeftRotZ,LeftRotW,LeftConfidence,RightRotX,RightRotY,RightRotZ,RightRotW,RightConfidence
7190,0.00,0.00,-0.03517,-0.00308,0.03321,0.99883,1.00,-0.03397,-0.03023,0.02949,0.99853,1.00
7523,0.00,0.00,-0.03887,-0.00267,0.03306,0.99869,1.00,-0.03767,-0.02984,0.02924,0.99842,1.00
7537,0.00,0.00,0.01784,-0.00017,0.03324,0.99929,1.00,0.01883,-0.02715,0.03099,0.99897,1.00
7551,0.00,0.00,0.01784,-0.00017,0.03322,0.99929,1.00,0.01883,-0.02715,0.03098,0.99897,1.00
7565,0.00,0.00,0.01784,-0.00017,0.03330,0.99929,1.00,0.01883,-0.02715,0.03106,0.99897,1.00
7579,0.00,0.00,0.01766,0.00651,0.03389,0.99925,1.00,0.01862,-0.02049,0.03166,0.99912,1.00
7593,0.00,0.00,0.01766,0.00651,0.03396,0.99925,1.00,0.01862,-0.02049,0.03173,0.99911,1.00
7607,0.00,0.00,-0.03070,0.00496,0.03429,0.99893,1.00,-0.02961,-0.02219,0.03070,0.99884,1.00
7621,0.00,0.00,-0.03070,0.00496,0.03430,0.99893,1.00,-0.02961,-0.02219,0.03072,0.99884,1.00
7634,0.00,0.00,-0.05086,0.00422,0.03436,0.99811,1.00,-0.04971,-0.02305,0.03019,0.99804,1.00
7648,0.00,0.00,-0.05086,0.00422,0.03435,0.99811,1.00,-0.04971,-0.02305,0.03018,0.99804,1.00
7663,0.00,0.00,-0.05086,0.00422,0.03438,0.99810,1.00,-0.04971,-0.02305,0.03022,0.99804,1.00
7676,0.00,0.00,-0.05088,0.00596,0.03469,0.99808,1.00,-0.04976,-0.02132,0.03053,0.99807,1.00
7690,0.00,0.00,-0.05089,0.00595,0.03450,0.99809,1.00,-0.04975,-0.02133,0.03035,0.99807,1.00
7704,0.00,0.00,-0.04889,0.00626,0.03405,0.99820,1.00,-0.04775,-0.02101,0.02994,0.99819,1.00
7718,0.00,0.00,-0.04889,0.00626,0.03402,0.99821,1.00,-0.04775,-0.02101,0.02990,0.99819,1.00
7732,0.00,0.00,-0.04889,0.00626,0.03405,0.99820,1.00,-0.04775,-0.02101,0.02993,0.99819,1.00
7746,0.00,0.00,-0.04374,0.00668,0.03427,0.99843,1.00,-0.04264,-0.02056,0.03030,0.99842,1.00
7760,0.00,0.00,-0.04374,0.00668,0.03440,0.99843,1.00,-0.04264,-0.02055,0.03043,0.99842,1.00
7774,0.00,0.00,-0.04361,0.00679,0.03454,0.99843,1.00,-0.04252,-0.02044,0.03058,0.99842,1.00
7788,0.00,0.00,-0.04361,0.00679,0.03457,0.99843,1.00,-0.04253,-0.02044,0.03062,0.99842,1.00
7802,0.00,0.00,-0.04828,0.00664,0.03454,0.99821,1.00,-0.04717,-0.02063,0.03045,0.99821,1.00
7816,0.00,0.00,-0.04828,0.00664,0.03454,0.99821,1.00,-0.04717,-0.02063,0.03045,0.99821,1.00
7830,0.00,0.00,-0.04828,0.00664,0.03463,0.99821,1.00,-0.04718,-0.02062,0.03054,0.99821,1.00
7844,0.00,0.00,-0.07703,0.00564,0.03481,0.99640,1.00,-0.07585,-0.02186,0.02986,0.99643,1.00
7858,0.00,0.00,-0.07704,0.00563,0.03478,0.99641,1.00,-0.07585,-0.02186,0.02984,0.99643,1.00
7872,0.00,0.00,-0.07789,0.00576,0.03471,0.99634,1.00,-0.07670,-0.02175,0.02974,0.99637,1.00
7885,0.00,0.00,-0.07789,0.00575,0.03466,0.99634,1.00,-0.07670,-0.02175,0.02969,0.99637,1.00
7899,0.00,0.00,-0.07789,0.00576,0.03471,0.99634,1.00,-0.07670,-0.02174,0.02975,0.99637,1.00
7913,0.00,0.00,-0.07883,0.00874,0.03544,0.99622,1.00,-0.07771,-0.01877,0.03045,0.99633,1.00
7927,0.00,0.00,-0.07883,0.00875,0.03546,0.99622,1.00,-0.07771,-0.01877,0.03048,0.99633,1.00
7941,0.00,0.00,-0.07899,0.00861,0.03525,0.99621,1.00,-0.07786,-0.01891,0.03026,0.99633,1.00
7955,0.00,0.00,-0.07899,0.00860,0.03511,0.99622,1.00,-0.07785,-0.01892,0.03013,0.99633,1.00
7969,0.00,0.00,-0.08090,0.00691,0.03485,0.99609,1.00,-0.07973,-0.02063,0.02981,0.99616,1.00
7983,0.00,0.00,-0.08089,0.00691,0.03494,0.99609,1.00,-0.07973,-0.02062,0.02990,0.99615,1.00
7997,0.00,0.00,-0.08089,0.00692,0.03507,0.99608,1.00,-0.07973,-0.02061,0.03003,0.99615,1.00
8011,0.00,0.00,-0.08117,0.00693,0.03513,0.99606,1.00,-0.08001,-0.02060,0.03008,0.99613,1.00
8025,0.00,0.00,-0.08117,0.00693,0.03512,0.99606,1.00,-0.08001,-0.02060,0.03006,0.99613,1.00
8038,0.00,0.00,-0.08117,0.01151,0.03586,0.99599,1.00,-0.08008,-0.01604,0.03080,0.99618,1.00
8053,0.00,0.00,-0.08117,0.01151,0.03591,0.99599,1.00,-0.08008,-0.01603,0.03085,0.99618,1.00
8066,0.00,0.00,-0.08117,0.01151,0.03589,0.99599,1.00,-0.08008,-0.01603,0.03082,0.99618,1.00
8080,0.00,0.00,-0.00339,0.06227,0.03971,0.99726,1.00,-0.00270,0.03530,0.03699,0.99869,1.00
8094,0.00,0.00,-0.00339,0.06227,0.03972,0.99726,1.00,-0.00270,0.03530,0.03700,0.99869,1.00
8108,0.00,0.00,-0.00324,0.06228,0.03966,0.99727,1.00,-0.00255,0.03531,0.03694,0.99869,1.00
8122,0.00,0.00,-0.00324,0.06228,0.03961,0.99727,1.00,-0.00255,0.03531,0.03689,0.99869,1.00
8136,0.00,0.00,-0.09316,0.00329,0.03432,0.99505,1.00,-0.09190,-0.02437,0.02886,0.99505,1.00
8150,0.00,0.00,-0.09316,0.00329,0.03433,0.99505,1.00,-0.09190,-0.02437,0.02886,0.99505,1.00
8164,0.00,0.00,-0.09316,0.00329,0.03438,0.99505,1.00,-0.09190,-0.02436,0.02891,0.99505,1.00
8178,0.00,0.00,-0.09297,0.00326,0.03443,0.99507,1.00,-0.09173,-0.02439,0.02897,0.99506,1.00
8192,0.00,0.00,-0.09297,0.00327,0.03448,0.99507,1.00,-0.09173,-0.02438,0.02902,0.99506,1.00
8206,0.00,0.00,-0.08795,0.00327,0.03449,0.99552,1.00,-0.08672,-0.02433,0.02918,0.99551,1.00
8219,0.00,0.00,-0.08795,0.00328,0.03453,0.99552,1.00,-0.08672,-0.02432,0.02922,0.99551,1.00
8233,0.00,0.00,-0.08795,0.00328,0.03453,0.99552,1.00,-0.08672,-0.02432,0.02922,0.99551,1.00
8247,0.00,0.00,-0.08670,0.00326,0.03454,0.99563,1.00,-0.08546,-0.02432,0.02927,0.99561,1.00
8261,0.00,0.00,-0.08670,0.00326,0.03451,0.99563,1.00,-0.08546,-0.02433,0.02923,0.99562,1.00
8275,0.00,0.00,-0.08506,0.00218,0.03433,0.99578,1.00,-0.08381,-0.02539,0.02910,0.99573,1.00
8289,0.00,0.00,-0.08506,0.00218,0.03434,0.99578,1.00,-0.08381,-0.02539,0.02910,0.99573,1.00
8303,0.00,0.00,-0.08496,0.00209,0.03430,0.99579,1.00,-0.08370,-0.02547,0.02906,0.99574,1.00
8317,0.00,0.00,-0.08496,0.00209,0.03428,0.99579,1.00,-0.08370,-0.02547,0.02904,0.99574,1.00
8331,0.00,0.00,-0.08496,0.00209,0.03431,0.99579,1.00,-0.08370,-0.02547,0.02907,0.99574,1.00
8345,0.00,0.00,-0.08589,0.00382,0.03469,0.99569,1.00,-0.08467,-0.02376,0.02943,0.99569,1.00
8359,0.00,0.00,-0.08589,0.00382,0.03471,0.99569,1.00,-0.08467,-0.02376,0.02946,0.99569,1.00
8373,0.00,0.00,-0.08790,0.00394,0.03477,0.99551,1.00,-0.08667,-0.02366,0.02945,0.99552,1.00
8387,0.00,0.00,-0.08790,0.00394,0.03474,0.99552,1.00,-0.08667,-0.02366,0.02942,0.99552,1.00
8401,0.00,0.00,-0.08790,0.00394,0.03478,0.99551,1.00,-0.08667,-0.02366,0.02945,0.99552,1.00
8414,0.00,0.00,-0.08793,0.00385,0.03473,0.99551,1.00,-0.08669,-0.02375,0.02939,0.99552,1.00
8429,0.00,0.00,-0.08793,0.00385,0.03468,0.99552,1.00,-0.08669,-0.02375,0.02934,0.99552,1.00
8443,0.00,0.00,-0.08788,0.00543,0.03499,0.99550,1.00,-0.08667,-0.02218,0.02965,0.99555,1.00
8456,0.00,0.00,-0.08788,0.00543,0.03507,0.99550,1.00,-0.08667,-0.02217,0.02974,0.99555,1.00
8470,0.00,0.00,-0.08689,0.00357,0.03469,0.99561,1.00,-0.08566,-0.02402,0.02939,0.99560,1.00
8484,0.00,0.00,-0.08690,0.00355,0.03443,0.99562,1.00,-0.08565,-0.02404,0.02913,0.99561,1.00
8498,0.00,0.00,-0.08690,0.00353,0.03420,0.99562,1.00,-0.08565,-0.02406,0.02889,0.99562,1.00
8512,0.00,0.00,-0.08696,0.00449,0.03441,0.99561,1.00,-0.08573,-0.02311,0.02910,0.99563,1.00
8526,0.00,0.00,-0.08695,0.00450,0.03458,0.99560,1.00,-0.08573,-0.02310,0.02926,0.99562,1.00
8540,0.00,0.00,-0.08687,0.00456,0.03476,0.99560,1.00,-0.08566,-0.02303,0.02944,0.99562,1.00
8554,0.00,0.00,-0.08687,0.00457,0.03480,0.99560,1.00,-0.08566,-0.02303,0.02949,0.99562,1.00
8568,0.00,0.00,-0.08459,0.00462,0.03473,0.99580,1.00,-0.08339,-0.02296,0.02949,0.99582,1.00
8582,0.00,0.00,-0.08459,0.00461,0.03468,0.99580,1.00,-0.08339,-0.02296,0.02944,0.99582,1.00
8596,0.00,0.00,-0.08459,0.00461,0.03465,0.99580,1.00,-0.08339,-0.02296,0.02941,0.99582,1.00
8610,0.00,0.00,-0.06155,0.00568,0.03461,0.99749,1.00,-0.06040,-0.02168,0.03006,0.99749,1.00
8624,0.00,0.00,-0.06155,0.00569,0.03473,0.99748,1.00,-0.06040,-0.02167,0.03018,0.99748,1.00
8638,0.00,0.00,0.02132,0.07363,0.03919,0.99629,1.00,0.02211,0.04678,0.03712,0.99797,1.00
8651,0.00,0.00,0.02131,0.07363,0.03917,0.99629,1.00,0.02210,0.04678,0.03710,0.99797,1.00
8665,0.00,0.00,0.02131,0.07363,0.03914,0.99629,1.00,0.02210,0.04678,0.03706,0.99797,1.00
8679,0.00,0.00,0.02779,0.11239,0.04128,0.99242,1.00,0.02857,0.08590,0.03948,0.99511,1.00
8693,0.00,0.00,0.02781,0.11239,0.04143,0.99241,1.00,0.02859,0.08590,0.03964,0.99510,1.00
8707,0.00,0.00,0.01996,0.11313,0.04254,0.99247,1.00,0.02064,0.08665,0.04055,0.99520,1.00
8721,0.00,0.00,0.01995,0.11313,0.04243,0.99247,1.00,0.02064,0.08665,0.04044,0.99520,1.00
8735,0.00,0.00,-0.08363,0.02392,0.03845,0.99547,1.00,-0.08275,-0.00367,0.03327,0.99601,1.00
8749,0.00,0.00,-0.08363,0.02391,0.03841,0.99547,1.00,-0.08275,-0.00367,0.03324,0.99601,1.00
8763,0.00,0.00,-0.08363,0.02392,0.03854,0.99546,1.00,-0.08275,-0.00366,0.03337,0.99600,1.00
