Time_ms,LeftRotX,LeftRotY,LeftRotZ,LeftRotW,LeftConfidence,RightRotX,RightRotY,RightRotZ,RightRotW,RightConfidence
11106,-0.02183,0.00777,-0.03000,0.99928,1.00,-0.02244,-0.01925,-0.03181,0.99906,1.00
11317,-0.02081,0.01083,-0.02955,0.99929,1.00,-0.02146,-0.01620,-0.03135,0.99915,1.00
11328,-0.02081,0.01083,-0.02947,0.99929,1.00,-0.02146,-0.01620,-0.03128,0.99915,1.00
11342,-0.02230,0.01052,-0.02948,0.99926,1.00,-0.02293,-0.01652,-0.03133,0.99911,1.00
11356,-0.02230,0.01052,-0.02944,0.99926,1.00,-0.02294,-0.01652,-0.03129,0.99911,1.00
11370,-0.02056,0.01310,-0.02923,0.99928,1.00,-0.02121,-0.01394,-0.03103,0.99920,1.00
11384,-0.02056,0.01310,-0.02914,0.99928,1.00,-0.02122,-0.01394,-0.03095,0.99920,1.00
11398,-0.02056,0.01310,-0.02906,0.99928,1.00,-0.02122,-0.01394,-0.03086,0.99920,1.00
11412,-0.01970,0.01282,-0.02917,0.99930,1.00,-0.02035,-0.01422,-0.03093,0.99921,1.00
11425,-0.01970,0.01281,-0.02948,0.99929,1.00,-0.02034,-0.01423,-0.03125,0.99920,1.00
11439,-0.01932,0.01256,-0.02984,0.99929,1.00,-0.01995,-0.01448,-0.03160,0.99920,1.00
11453,-0.01932,0.01256,-0.02976,0.99929,1.00,-0.01995,-0.01448,-0.03151,0.99920,1.00
11468,-0.01932,0.01256,-0.02957,0.99930,1.00,-0.01996,-0.01448,-0.03133,0.99921,1.00
11481,-0.01997,0.01225,-0.02941,0.99929,1.00,-0.02062,-0.01479,-0.03118,0.99919,1.00
11495,-0.01997,0.01225,-0.02924,0.99930,1.00,-0.02063,-0.01479,-0.03102,0.99920,1.00
11509,-0.02173,0.01095,-0.02917,0.99928,1.00,-0.02237,-0.01608,-0.03099,0.99914,1.00
11523,-0.02173,0.01096,-0.02908,0.99928,1.00,-0.02237,-0.01608,-0.03089,0.99914,1.00
11537,-0.02191,0.00955,-0.02916,0.99929,1.00,-0.02254,-0.01749,-0.03096,0.99911,1.00
11551,-0.02191,0.00955,-0.02904,0.99929,1.00,-0.02254,-0.01748,-0.03083,0.99912,1.00
11565,-0.02191,0.00955,-0.02901,0.99929,1.00,-0.02254,-0.01748,-0.03078,0.99912,1.00
11579,-0.02260,0.00919,-0.02895,0.99928,1.00,-0.02322,-0.01784,-0.03073,0.99910,1.00
11593,-0.02260,0.00919,-0.02899,0.99928,1.00,-0.02322,-0.01784,-0.03077,0.99910,1.00
11607,-0.06849,-0.00151,-0.02994,0.99720,1.00,-0.06877,-0.02871,-0.03295,0.99667,1.00
11620,-0.06849,-0.00150,-0.02976,0.99721,1.00,-0.06878,-0.02870,-0.03278,0.99668,1.00
11635,-0.06849,-0.00147,-0.02943,0.99722,1.00,-0.06879,-0.02868,-0.03244,0.99669,1.00
11648,-0.06897,-0.00186,-0.02920,0.99719,1.00,-0.06927,-0.02906,-0.03222,0.99665,1.00
11662,-0.06897,-0.00187,-0.02933,0.99719,1.00,-0.06927,-0.02907,-0.03235,0.99665,1.00
11676,-0.06889,-0.00218,-0.02924,0.99719,1.00,-0.06917,-0.02939,-0.03227,0.99665,1.00
11690,-0.06889,-0.00216,-0.02896,0.99720,1.00,-0.06918,-0.02937,-0.03199,0.99666,1.00
11704,-0.06803,-0.00392,-0.02887,0.99726,1.00,-0.06830,-0.03111,-0.03187,0.99667,1.00
11718,-0.06803,-0.00390,-0.02862,0.99726,1.00,-0.06830,-0.03109,-0.03161,0.99668,1.00
11732,-0.06803,-0.00388,-0.02832,0.99727,1.00,-0.06831,-0.03107,-0.03130,0.99669,1.00
11745,-0.06214,-0.00439,-0.02818,0.99766,1.00,-0.06243,-0.03154,-0.03099,0.99707,1.00
11759,-0.06214,-0.00438,-0.02803,0.99766,1.00,-0.06244,-0.03153,-0.03084,0.99707,1.00
11773,-0.06257,-0.01719,-0.02928,0.99746,1.00,-0.06271,-0.04426,-0.03205,0.99654,1.00
11787,-0.06257,-0.01718,-0.02914,0.99747,1.00,-0.06271,-0.04425,-0.03190,0.99654,1.00
11801,-0.06258,-0.01716,-0.02883,0.99748,1.00,-0.06273,-0.04423,-0.03157,0.99655,1.00
11815,-0.07692,-0.00722,-0.02770,0.99663,1.00,-0.07707,-0.03446,-0.03086,0.99595,1.00
11829,-0.07692,-0.00720,-0.02746,0.99663,1.00,-0.07708,-0.03444,-0.03061,0.99596,1.00
11843,-0.07742,-0.00791,-0.02743,0.99659,1.00,-0.07756,-0.03514,-0.03056,0.99590,1.00
11857,-0.07742,-0.00790,-0.02738,0.99659,1.00,-0.07756,-0.03514,-0.03051,0.99590,1.00
11870,-0.07210,-0.00843,-0.02754,0.99698,1.00,-0.07225,-0.03563,-0.03051,0.99628,1.00
11884,-0.07210,-0.00844,-0.02763,0.99698,1.00,-0.07225,-0.03563,-0.03059,0.99628,1.00
11898,-0.07210,-0.00842,-0.02748,0.99698,1.00,-0.07225,-0.03562,-0.03044,0.99629,1.00
11912,-0.07172,-0.00489,-0.02667,0.99706,1.00,-0.07193,-0.03211,-0.02963,0.99645,1.00
11926,-0.07172,-0.00486,-0.02626,0.99707,1.00,-0.07194,-0.03208,-0.02922,0.99646,1.00
11940,-0.06792,-0.00517,-0.02579,0.99734,1.00,-0.06815,-0.03237,-0.02862,0.99674,1.00
11954,-0.06792,-0.00513,-0.02516,0.99736,1.00,-0.06817,-0.03232,-0.02798,0.99676,1.00
11968,-0.06792,-0.00508,-0.02436,0.99738,1.00,-0.06820,-0.03226,-0.02714,0.99678,1.00
11982,-0.06826,-0.00528,-0.02333,0.99738,1.00,-0.06852,-0.03247,-0.02609,0.99678,1.00
11995,-0.06826,-0.00521,-0.02233,0.99740,1.00,-0.06855,-0.03240,-0.02505,0.99681,1.00
12009,-0.06914,-0.00224,-0.02098,0.99738,1.00,-0.06941,-0.02944,-0.02370,0.99687,1.00
12023,-0.06914,-0.00218,-0.02017,0.99740,1.00,-0.06944,-0.02939,-0.02286,0.99689,1.00
12037,-0.06807,-0.00331,-0.01951,0.99748,1.00,-0.06830,-0.03052,-0.02214,0.99695,1.00
12051,-0.06808,-0.00327,-0.01881,0.99750,1.00,-0.06832,-0.03047,-0.02143,0.99697,1.00
12065,-0.06808,-0.00320,-0.01778,0.99752,1.00,-0.06835,-0.03040,-0.02039,0.99699,1.00
12079,-0.06766,-0.00361,-0.01663,0.99756,1.00,-0.06788,-0.03082,-0.01923,0.99703,1.00
12092,-0.06766,-0.00354,-0.01554,0.99758,1.00,-0.06791,-0.03074,-0.01813,0.99705,1.00
12106,-0.06841,-0.00493,-0.01439,0.99754,1.00,-0.06857,-0.03214,-0.01697,0.99698,1.00
12120,-0.06841,-0.00485,-0.01325,0.99756,1.00,-0.06861,-0.03206,-0.01581,0.99700,1.00
12134,-0.06842,-0.00480,-0.01249,0.99757,1.00,-0.06863,-0.03200,-0.01503,0.99702,1.00
12148,-0.06811,-0.00535,-0.01198,0.99759,1.00,-0.06822,-0.03257,-0.01449,0.99703,1.00
12163,-0.06812,-0.00530,-0.01115,0.99760,1.00,-0.06825,-0.03251,-0.01364,0.99705,1.00
12176,-0.06729,-0.00100,-0.00977,0.99769,1.00,-0.06739,-0.02823,-0.01221,0.99725,1.00
12190,-0.06729,-0.00092,-0.00867,0.99770,1.00,-0.06742,-0.02815,-0.01107,0.99727,1.00
12204,-0.06837,0.00071,-0.00728,0.99763,1.00,-0.06844,-0.02653,-0.00967,0.99726,1.00
12218,-0.06837,0.00081,-0.00586,0.99764,1.00,-0.06848,-0.02643,-0.00820,0.99727,1.00
12233,-0.06837,0.00089,-0.00477,0.99765,1.00,-0.06851,-0.02635,-0.00705,0.99728,1.00
12246,-0.06924,0.00095,-0.00427,0.99759,1.00,-0.06927,-0.02629,-0.00652,0.99723,1.00
12260,-0.06924,0.00098,-0.00384,0.99759,1.00,-0.06928,-0.02625,-0.00605,0.99723,1.00
12274,0.00049,0.03650,-0.00328,0.99933,1.00,0.00028,0.00943,-0.00354,0.99995,1.00
12288,0.00049,0.03650,-0.00324,0.99933,1.00,0.00028,0.00943,-0.00345,0.99995,1.00
12302,0.00049,0.03650,-0.00322,0.99933,1.00,0.00028,0.00943,-0.00337,0.99995,1.00
12316,-0.00173,0.03718,-0.00304,0.99930,1.00,-0.00188,0.01011,-0.00319,0.99994,1.00
12330,-0.00173,0.03718,-0.00290,0.99930,1.00,-0.00187,0.01011,-0.00299,0.99994,1.00
12344,-0.07009,0.03676,-0.00023,0.99686,1.00,-0.07026,0.00949,-0.00212,0.99748,1.00
12358,-0.07009,0.03675,-0.00033,0.99686,1.00,-0.07026,0.00949,-0.00215,0.99748,1.00
12372,-0.07278,0.02900,-0.00106,0.99693,1.00,-0.07283,0.00173,-0.00289,0.99734,1.00
12386,-0.07278,0.02900,-0.00107,0.99693,1.00,-0.07283,0.00173,-0.00281,0.99734,1.00
12400,-0.07278,0.02901,-0.00104,0.99693,1.00,-0.07283,0.00174,-0.00269,0.99734,1.00
