Time_ms,LeftRotX,LeftRotY,LeftRotZ,LeftRotW,LeftConfidence,RightRotX,RightRotY,RightRotZ,RightRotW,RightConfidence
99713,-0,1741805,0,0003556665,-0,01701328,0,9845667,0,9980469,-0,1746668,-0,02661696,-0,01411233,0,9841666,0,9980469
99727,-0,1741805,0,0003784448,-0,01688454,0,984569,0,9980469,-0,1746704,-0,02659394,-0,01398257,0,9841684,0,9980469
99741,-0,1737582,-0,0002843607,-0,01677287,0,9846455,0,9980469,-0,1742012,-0,02725407,-0,01385054,0,9842355,0,9980469
99755,-0,1737582,-0,0002573673,-0,01661991,0,9846482,0,9980469,-0,1742059,-0,02722453,-0,0136836,0,9842378,0,9980469
99770,-0,1737583,-0,0001785308,-0,01617315,0,9846556,0,9980469,-0,1742187,-0,02714246,-0,01321992,0,9842442,0,9980469
99783,-0,1736943,0,0001462512,-0,01557367,0,9846766,0,9980469,-0,1741495,-0,02681458,-0,01260131,0,9842736,0,9980469
99797,-0,1736941,0,0002386793,-0,01504971,0,9846847,0,9980469,-0,1741638,-0,02672119,-0,01207354,0,9842801,0,9980469
99811,-0,1740155,-0,001583803,-0,01448547,0,9846351,0,9980469,-0,174439,-0,02854849,-0,01152602,0,9841865,0,9980469
99825,-0,174016,-0,001527231,-0,01416533,0,9846398,0,9980469,-0,1744479,-0,02849481,-0,01122309,0,9841901,0,9980469
99839,-0,1740161,-0,001513267,-0,01408633,0,9846409,0,9980469,-0,1744495,-0,02848474,-0,01116631,0,9841907,0,9980469
99853,-0,1731835,-0,001606654,-0,01424536,0,9847852,0,9980469,-0,1735584,-0,02857871,-0,01133153,0,9843436,0,9980469
99866,-0,1731834,-0,001617555,-0,01430736,0,9847844,0,9980469,-0,1735558,-0,02859437,-0,01142041,0,9843426,0,9980469
99880,-0,1726816,-0,001370965,-0,01400385,0,9848773,0,9980469,-0,1730345,-0,02834877,-0,0111263,0,984445,0,9980469
