Time_ms,TargetRotX,TargetRotY,LeftRotX,LeftRotY,LeftRotZ,LeftRotW,LeftConfidence,RightRotX,RightRotY,RightRotZ,RightRotW,RightConfidence
155056,0,0,-0,07356821,-0,007979583,-0,007121291,0,997233,0,9980469,-0,0737282,-0,03522392,-0,00850223,0,9966199,0,9980469
155070,0,0,-0,07349158,-0,008188967,-0,006919279,0,9972383,0,9980469,-0,07364655,-0,035433,-0,008301115,0,9966202,0,9980469
155083,0,0,-0,07349323,-0,008173871,-0,006714484,0,9972397,0,9980469,-0,07365391,-0,03541768,-0,008093834,0,9966219,0,9980469
155097,0,0,-0,05465673,-0,0101817,-0,0065686,0,9984317,0,9980469,-0,05480174,-0,03733647,-0,007423714,0,9977713,0,9980469
155111,0,0,-0,0546555,-0,01018838,-0,006690628,0,998431,0,9980469,-0,05479725,-0,03734305,-0,007543355,0,9977704,0,9980469
155125,0,0,-0,05465541,-0,0101888,-0,006698447,0,9984308,0,9980469,-0,05479673,-0,03734383,-0,007557712,0,9977704,0,9980469
155139,0,0,0,01040099,-0,01695633,-0,005790615,0,9997854,0,9980469,0,01019852,-0,04402617,-0,004888554,0,9989664,0,9980469
155153,0,0,0,01039725,-0,01695862,-0,005570177,0,9997866,0,9980469,0,01018898,-0,04402839,-0,004672001,0,9989675,0,9980469
155167,0,0,0,01051387,-0,01710187,-0,005144948,0,9997853,0,9980469,0,01029786,-0,04417171,-0,004238095,0,998962,0,9980469
155181,0,0,0,01051146,-0,01710335,-0,00500415,0,999786,0,9980469,0,01029138,-0,04417322,-0,00409148,0,9989625,0,9980469
155195,0,0,0,01051145,-0,01710336,-0,005003594,0,9997861,0,9980469,0,01029162,-0,04417317,-0,004097077,0,9989626,0,9980469
155208,0,0,0,01103963,-0,01475426,-0,005094832,0,9998173,0,9980469,0,0108486,-0,04182848,-0,00419293,0,9990571,0,9980469
155222,0,0,0,01103674,-0,01475642,-0,004899161,0,9998183,0,9980469,0,01084143,-0,04183035,-0,00402152,0,9990579,0,9980469
155236,0,0,0,01259718,-0,01268608,-0,004616365,0,9998295,0,9980469,0,01241078,-0,03976479,-0,003712836,0,9991251,0,9980469
155250,0,0,0,01259566,-0,0126876,-0,004495604,0,9998302,0,9980469,0,01240675,-0,03976608,-0,003611404,0,9991257,0,9980469
155264,0,0,0,01325097,-0,01428438,-0,004478666,0,9998003,0,9980469,0,0130775,-0,04136153,-0,003596643,0,9990523,0,9980469
155278,0,0,0,01324966,-0,01428559,-0,004387217,0,9998007,0,9980469,0,01307481,-0,04136238,-0,003531776,0,9990525,0,9980469
155292,0,0,0,0132469,-0,01428813,-0,004194439,0,9998013,0,9980469,0,01306738,-0,04136471,-0,00335228,0,9990531,0,9980469
155306,0,0,0,01220418,-0,01394527,-0,004152637,0,9998197,0,9980469,0,01203761,-0,0410203,-0,003348858,0,9990802,0,9980469
155320,0,0,0,01220485,-0,01394468,-0,004200798,0,9998195,0,9980469,0,01203974,-0,04101969,-0,003400595,0,99908,0,9980469
155334,0,0,0,01271773,-0,01547779,-0,004263068,0,9997904,0,9980469,0,01256114,-0,04255068,-0,003441864,0,9990095,0,9980469
155347,0,0,0,01271912,-0,01547664,-0,004352905,0,9997899,0,9980469,0,01256489,-0,04254955,-0,003529925,0,9990091,0,9980469
