Time_ms,LeftBlinkWeight,RightBlinkWeight,LeftConfidence,RightConfidence
190139,5,211008E-25,1,132698E-14,0,9980469,0,9980469
190153,5,211008E-25,1,132698E-14,0,9980469,0,9980469
190167,3,672602E-25,9,365448E-15,0,9980469,0,9980469
190180,3,672602E-25,9,365448E-15,0,9980469,0,9980469
190195,3,672602E-25,9,365448E-15,0,9980469,0,9980469
190208,2,588367E-25,7,7436E-15,0,9980469,0,9980469
190222,2,588367E-25,7,7436E-15,0,9980469,0,9980469
190236,1,824239E-25,6,402646E-15,0,9980469,0,9980469
190250,1,824239E-25,6,402646E-15,0,9980469,0,9980469
190264,1,824239E-25,6,402646E-15,0,9980469,0,9980469
190278,1,28566E-25,5,293822E-15,0,9980469,0,9980469
190292,1,28566E-25,5,293822E-15,0,9980469,0,9980469
190306,9,061125E-26,4,377095E-15,0,9980469,0,9980469
190320,9,061125E-26,4,377095E-15,0,9980469,0,9980469
190334,6,386191E-26,3,619135E-15,0,9980469,0,9980469
190347,6,386191E-26,3,619135E-15,0,9980469,0,9980469
190362,6,386191E-26,3,619135E-15,0,9980469,0,9980469
190375,4,500206E-26,2,992148E-15,0,9980469,0,9980469
190389,4,500206E-26,2,992148E-15,0,9980469,0,9980469
190403,3,172122E-26,2,474205E-15,0,9980469,0,9980469
190417,3,172122E-26,2,474205E-15,0,9980469,0,9980469
190431,3,172122E-26,2,474205E-15,0,9980469,0,9980469
190445,2,235541E-26,2,045685E-15,0,9980469,0,9980469
190459,2,235541E-26,2,045685E-15,0,9980469,0,9980469
190473,1,575629E-26,1,69147E-15,0,9980469,0,9980469
190487,1,575629E-26,1,69147E-15,0,9980469,0,9980469
190500,1,110478E-26,1,39856E-15,0,9980469,0,9980469
190514,1,110478E-26,1,39856E-15,0,9980469,0,9980469
190528,1,110478E-26,1,39856E-15,0,9980469,0,9980469
190542,7,826398E-27,1,156366E-15,0,9980469,0,9980469
190556,7,826398E-27,1,156366E-15,0,9980469,0,9980469
190570,5,515968E-27,9,56124E-16,0,9980469,0,9980469
190584,5,515968E-27,9,56124E-16,0,9980469,0,9980469
190598,5,515968E-27,9,56124E-16,0,9980469,0,9980469
190612,3,88753E-27,7,905486E-16,0,9980469,0,9980469
190626,3,88753E-27,7,905486E-16,0,9980469,0,9980469
190639,2,739868E-27,6,536499E-16,0,9980469,0,9980469
190654,2,739868E-27,6,536499E-16,0,9980469,0,9980469
190667,1,930964E-27,5,404494E-16,0,9980469,0,9980469
190681,1,930964E-27,5,404494E-16,0,9980469,0,9980469
190695,1,930964E-27,5,404494E-16,0,9980469,0,9980469
190709,1,360912E-27,4,468601E-16,0,9980469,0,9980469
190723,1,360912E-27,4,468601E-16,0,9980469,0,9980469
190737,9,591485E-28,3,694777E-16,0,9980469,0,9980469
190751,9,591485E-28,3,694777E-16,0,9980469,0,9980469
190765,9,591485E-28,3,694777E-16,0,9980469,0,9980469
190778,6,759505E-28,3,054844E-16,0,9980469,0,9980469
190793,6,759505E-28,3,054844E-16,0,9980469,0,9980469
190806,4,7642E-28,2,525904E-16,0,9980469,0,9980469
190821,4,7642E-28,2,525904E-16,0,9980469,0,9980469
190834,3,357315E-28,2,088343E-16,0,9980469,0,9980469
190848,3,357315E-28,2,088343E-16,0,9980469,0,9980469
190862,3,357315E-28,2,088343E-16,0,9980469,0,9980469
190876,2,366496E-28,1,726841E-16,0,9980469,0,9980469
190890,2,366496E-28,1,726841E-16,0,9980469,0,9980469
190904,1,667853E-28,1,427798E-16,0,9980469,0,9980469
190918,1,667853E-28,1,427798E-16,0,9980469,0,9980469
190932,1,667853E-28,1,427798E-16,0,9980469,0,9980469
190945,1,175465E-28,1,180541E-16,0,9980469,0,9980469
190960,1,175465E-28,1,180541E-16,0,9980469,0,9980469
190973,8,284417E-29,9,761024E-17,0,9980469,0,9980469
190988,8,284417E-29,9,761024E-17,0,9980469,0,9980469
191001,5,83862E-29,8,070631E-17,0,9980469,0,9980469
191015,5,83862E-29,8,070631E-17,0,9980469,0,9980469
191029,5,83862E-29,8,070631E-17,0,9980469,0,9980469
191043,4,115001E-29,6,67308E-17,0,9980469,0,9980469
191057,4,115001E-29,6,67308E-17,0,9980469,0,9980469
191071,2,900135E-29,5,517451E-17,0,9980469,0,9980469
191085,2,900135E-29,5,517451E-17,0,9980469,0,9980469
191099,2,900135E-29,5,517451E-17,0,9980469,0,9980469
191113,2,043986E-29,4,562021E-17,0,9980469,0,9980469
191127,2,043986E-29,4,562021E-17,0,9980469,0,9980469
191140,1,440543E-29,3,77198E-17,0,9980469,0,9980469
191155,1,440543E-29,3,77198E-17,0,9980469,0,9980469
191168,1,015271E-29,3,118789E-17,0,9980469,0,9980469
191182,1,015271E-29,3,118789E-17,0,9980469,0,9980469
191196,1,015271E-29,3,118789E-17,0,9980469,0,9980469
191210,7,155403E-30,2,578697E-17,0,9980469,0,9980469
191224,7,155403E-30,2,578697E-17,0,9980469,0,9980469
191238,5,043057E-30,2,132157E-17,0,9980469,0,9980469
191252,5,043057E-30,2,132157E-17,0,9980469,0,9980469
191266,3,554233E-30,1,762924E-17,0,9980469,0,9980469
191280,3,554233E-30,1,762924E-17,0,9980469,0,9980469
191294,3,554233E-30,1,762924E-17,0,9980469,0,9980469
191308,2,504966E-30,1,457639E-17,0,9980469,0,9980469
191322,2,504966E-30,1,457639E-17,0,9980469,0,9980469
191335,1,765444E-30,1,205215E-17,0,9980469,0,9980469
191349,1,765444E-30,1,205215E-17,0,9980469,0,9980469
191363,1,765444E-30,1,205215E-17,0,9980469,0,9980469
191377,1,244256E-30,9,965086E-18,0,9980469,0,9980469
191391,1,244256E-30,9,965086E-18,0,9980469,0,9980469
191405,8,769239E-31,8,239396E-18,0,9980469,0,9980469
191420,8,769239E-31,8,239396E-18,0,9980469,0,9980469
191433,6,180144E-31,0,003690089,0,9980469,0,9980469
191447,6,180144E-31,0,003690089,0,9980469,0,9980469
191461,6,180144E-31,0,003690089,0,9980469,0,9980469
191474,0,0808311,0,0100154,0,9980469,0,9980469
191489,0,0808311,0,0100154,0,9980469,0,9980469
191503,0,3346194,0,02081373,0,9980469,0,9980469
191517,0,3346194,0,02081373,0,9980469,0,9980469
191531,0,3346194,0,02081373,0,9980469,0,9980469
191544,0,9871541,0,02750665,0,9980469,0,9980469
191558,0,9871541,0,02750665,0,9980469,0,9980469
191572,0,9997697,0,03611005,0,9980469,0,9980469
191586,0,9997697,0,03611005,0,9980469,0,9980469
191600,0,4305317,0,04145239,0,9980469,0,9980469
191614,0,4305317,0,04145239,0,9980469,0,9980469
191628,0,4305317,0,04145239,0,9980469,0,9980469
191642,2,078712E-06,0,04905863,0,9980469,0,9980469
191656,2,078712E-06,0,04905863,0,9980469,0,9980469
191670,0,0008133686,0,04389818,0,9980469,0,9980469
191684,0,0008133686,0,04389818,0,9980469,0,9980469
191698,0,0008133686,0,04389818,0,9980469,0,9980469
191711,3,872384E-05,0,02958746,0,9980469,0,9980469
191726,3,872384E-05,0,02958746,0,9980469,0,9980469
191739,2,198575E-06,0,02060125,0,9980469,0,9980469
191754,2,198575E-06,0,02060125,0,9980469,0,9980469
191768,2,198575E-06,0,02060125,0,9980469,0,9980469
191781,1,484717E-07,0,01474775,0,9980469,0,9980469
191795,1,484717E-07,0,01474775,0,9980469,0,9980469
191809,1,188717E-08,0,01080846,0,9980469,0,9980469
191823,1,188717E-08,0,01080846,0,9980469,0,9980469
191837,1,124311E-09,0,008080376,0,9980469,0,9980469
191851,1,124311E-09,0,008080376,0,9980469,0,9980469
191865,1,124311E-09,0,008080376,0,9980469,0,9980469
191878,1,251011E-10,0,006142885,0,9980469,0,9980469
191893,1,251011E-10,0,006142885,0,9980469,0,9980469
191906,1,629525E-11,0,004735939,0,9980469,0,9980469
191921,1,629525E-11,0,004735939,0,9980469,0,9980469
191934,2,471253E-12,0,003694365,0,9980469,0,9980469
191948,2,471253E-12,0,003694365,0,9980469,0,9980469
191962,2,471253E-12,0,003694365,0,9980469,0,9980469
191976,4,33832E-13,0,002910553,0,9980469,0,9980469
191990,4,33832E-13,0,002910553,0,9980469,0,9980469
192004,8,753151E-14,0,002311843,0,9980469,0,9980469
192018,8,753151E-14,0,002311843,0,9980469,0,9980469
192032,8,753151E-14,0,002311843,0,9980469,0,9980469
192045,2,015212E-14,0,001848908,0,9980469,0,9980469
192060,2,015212E-14,0,001848908,0,9980469,0,9980469
192073,5,251633E-15,0,001487082,0,9980469,0,9980469
192088,5,251633E-15,0,001487082,0,9980469,0,9980469
192101,1,536299E-15,0,001201746,0,9980469,0,9980469
192115,1,536299E-15,0,001201746,0,9980469,0,9980469
192129,1,536299E-15,0,001201746,0,9980469,0,9980469
192143,5,000697E-16,0,0009749741,0,9980469,0,9980469
192157,5,000697E-16,0,0009749741,0,9980469,0,9980469
192171,1,795025E-16,0,0007935753,0,9980469,0,9980469
192186,1,795025E-16,0,0007935753,0,9980469,0,9980469
192199,1,795025E-16,0,0007935753,0,9980469,0,9980469
192212,7,041912E-17,0,000647681,0,9980469,0,9980469
192227,7,041912E-17,0,000647681,0,9980469,0,9980469
192240,2,992158E-17,0,0005297849,0,9980469,0,9980469
192254,2,992158E-17,0,0005297849,0,9980469,0,9980469
192268,1,365317E-17,0,0004341587,0,9980469,0,9980469
192282,1,365317E-17,0,0004341587,0,9980469,0,9980469
192296,1,365317E-17,0,0004341587,0,9980469,0,9980469
192310,6,635108E-18,0,000356342,0,9980469,0,9980469
192324,6,635108E-18,0,000356342,0,9980469,0,9980469
192338,3,407527E-18,0,0002928389,0,9980469,0,9980469
192352,3,407527E-18,0,0002928389,0,9980469,0,9980469
192366,1,836315E-18,0,0002409101,0,9980469,0,9980469
192379,1,836315E-18,0,0002409101,0,9980469,0,9980469
192394,1,836315E-18,0,0002409101,0,9980469,0,9980469
192407,1,031638E-18,0,0001983625,0,9980469,0,9980469
192422,1,031638E-18,0,0001983625,0,9980469,0,9980469
192435,6,006818E-19,0,000163448,0,9980469,0,9980469
192449,6,006818E-19,0,000163448,0,9980469,0,9980469
192463,6,006818E-19,0,000163448,0,9980469,0,9980469
192477,3,605974E-19,0,0001347573,0,9980469,0,9980469
192491,3,605974E-19,0,0001347573,0,9980469,0,9980469
192505,2,22179E-19,0,0001111587,0,9980469,0,9980469
192519,2,22179E-19,0,0001111587,0,9980469,0,9980469
192533,1,399386E-19,9,172926E-05,0,9980469,0,9980469
192547,1,399386E-19,9,172926E-05,0,9980469,0,9980469
192561,1,399386E-19,9,172926E-05,0,9980469,0,9980469
192574,8,979392E-20,7,572184E-05,0,9980469,0,9980469
192589,8,979392E-20,7,572184E-05,0,9980469,0,9980469
192602,0,9861163,0,02093455,0,9980469,0,9980469
192616,0,9861163,0,02093455,0,9980469,0,9980469
192630,0,9861163,0,02093455,0,9980469,0,9980469
192644,0,9997525,0,0326829,0,9980469,0,9980469
192658,0,9997525,0,0326829,0,9980469,0,9980469
192672,0,4143835,0,03963082,0,9980469,0,9980469
192687,0,4143835,0,03963082,0,9980469,0,9980469
192700,2,127141E-06,0,05631007,0,9980469,0,9980469
192714,2,127141E-06,0,05631007,0,9980469,0,9980469
192728,2,127141E-06,0,05631007,0,9980469,0,9980469
192741,0,0009571201,0,04983426,0,9980469,0,9980469
192756,0,0009571201,0,04983426,0,9980469,0,9980469
192769,5,142282E-05,0,04077714,0,9980469,0,9980469
192783,5,142282E-05,0,04077714,0,9980469,0,9980469
192797,5,142282E-05,0,04077714,0,9980469,0,9980469
192811,3,288968E-06,0,03441622,0,9980469,0,9980469
192826,3,288968E-06,0,03441622,0,9980469,0,9980469
192839,2,496594E-07,0,02413033,0,9980469,0,9980469
192853,2,496594E-07,0,02413033,0,9980469,0,9980469
192867,2,241524E-08,0,01737613,0,9980469,0,9980469
192881,2,241524E-08,0,01737613,0,9980469,0,9980469
192895,2,241524E-08,0,01737613,0,9980469,0,9980469
192909,2,370652E-09,0,01279838,0,9980469,0,9980469
192923,2,370652E-09,0,01279838,0,9980469,0,9980469
192937,2,939821E-10,0,009608177,0,9980469,0,9980469
192950,2,939821E-10,0,009608177,0,9980469,0,9980469
192964,2,939821E-10,0,009608177,0,9980469,0,9980469
192978,4,253354E-11,0,007330436,0,9980469,0,9980469
192992,4,253354E-11,0,007330436,0,9980469,0,9980469
