Time_ms,LeftBlinkWeight,RightBlinkWeight,LeftConfidence,RightConfidence
0,0.00000,0.00000,1.00,1.00
12,0.00000,0.00000,1.00,1.00
21,0.00000,0.00000,1.00,1.00
34,0.00000,0.00000,1.00,1.00
44,0.00000,0.00000,1.00,1.00
55,0.00000,0.00000,1.00,1.00
67,0.00000,0.00000,1.00,1.00
77,0.00000,0.00000,1.00,1.00
90,0.00000,0.00000,1.00,1.00
100,0.00000,0.00000,1.00,1.00
111,0.00000,0.00000,1.00,1.00
122,0.00000,0.00000,1.00,1.00
132,0.00000,0.00000,1.00,1.00
144,0.00000,0.00000,1.00,1.00
156,0.00000,0.00000,1.00,1.00
167,0.00000,0.00000,1.00,1.00
178,0.00000,0.00000,1.00,1.00
188,0.00000,0.00000,1.00,1.00
200,0.00000,0.00000,1.00,1.00
211,0.00000,0.00000,1.00,1.00
222,0.00000,0.00000,1.00,1.00
234,0.00000,0.00000,1.00,1.00
244,0.00000,0.00000,1.00,1.00
256,0.00000,0.00000,1.00,1.00
267,0.00000,0.00000,1.00,1.00
279,0.00000,0.00000,1.00,1.00
290,0.00000,0.00000,1.00,1.00
300,0.00000,0.00000,1.00,1.00
312,0.00000,0.00000,1.00,1.00
323,0.00000,0.00000,1.00,1.00
335,0.00000,0.00000,1.00,1.00
345,0.00000,0.00000,1.00,1.00
357,0.00000,0.00000,1.00,1.00
369,0.00000,0.00000,1.00,1.00
378,0.00000,0.00000,1.00,1.00
390,0.00000,0.00000,1.00,1.00
401,0.00000,0.00000,1.00,1.00
412,0.00000,0.00000,1.00,1.00
424,0.00000,0.00000,1.00,1.00
434,0.00000,0.00000,1.00,1.00
446,0.00000,0.00000,1.00,1.00
457,0.00000,0.00000,1.00,1.00
468,0.00000,0.00000,1.00,1.00
479,0.00000,0.00000,1.00,1.00
490,0.00000,0.00000,1.00,1.00
502,0.00000,0.00000,1.00,1.00
512,0.00000,0.00000,1.00,1.00
524,0.00000,0.00000,1.00,1.00
536,0.00000,0.00000,1.00,1.00
546,0.00000,0.00000,1.00,1.00
558,0.00000,0.00000,1.00,1.00
569,0.00000,0.00000,1.00,1.00
579,0.00000,0.00000,1.00,1.00
592,0.00000,0.00000,1.00,1.00
602,0.00000,0.00000,1.00,1.00
614,0.00000,0.00000,1.00,1.00
625,0.00000,0.00000,1.00,1.00
636,0.00000,0.00000,1.00,1.00
647,0.00000,0.00000,1.00,1.00
658,0.00000,0.00000,1.00,1.00
669,0.00000,0.00000,1.00,1.00
680,0.00000,0.00000,1.00,1.00
691,0.00000,0.00000,1.00,1.00
703,0.00000,0.00000,1.00,1.00
714,0.00000,0.00000,1.00,1.00
726,0.00000,0.00000,1.00,1.00
735,0.00000,0.00000,1.00,1.00
745,0.00000,0.00000,1.00,1.00
758,0.00000,0.00000,1.00,1.00
770,0.00000,0.00000,1.00,1.00
784,0.00000,0.00000,1.00,1.00
798,0.00000,0.00000,1.00,1.00
815,0.00000,0.00000,1.00,1.00
830,0.00000,0.00000,1.00,1.00
843,0.00000,0.00000,1.00,1.00
854,0.00000,0.00000,1.00,1.00
867,0.00000,0.00000,1.00,1.00
880,0.00000,0.00000,1.00,1.00
893,0.00000,0.00000,1.00,1.00
906,0.00000,0.00000,1.00,1.00
921,0.00000,0.00000,1.00,1.00
935,0.00000,0.00000,1.00,1.00
947,0.00000,0.00000,1.00,1.00
962,0.00000,0.00899,1.00,1.00
975,0.00000,0.00899,1.00,1.00
985,0.00000,0.00899,1.00,1.00
996,0.00000,0.00072,1.00,1.00
1010,0.00000,0.00072,1.00,1.00
1024,0.11612,0.00048,1.00,1.00
1037,0.11612,0.00048,1.00,1.00
1049,0.22348,0.10536,1.00,1.00
1061,0.22348,0.10536,1.00,1.00
1074,0.22348,0.10536,1.00,1.00
1088,0.41803,0.50665,1.00,1.00
1101,0.22158,0.23748,1.00,1.00
1113,0.22158,0.23748,1.00,1.00
1128,0.22158,0.23748,1.00,1.00
1140,0.06539,0.03853,1.00,1.00
1153,0.06539,0.03853,1.00,1.00
1166,0.05288,0.00207,1.00,1.00
1178,0.05288,0.00207,1.00,1.00
1191,0.03507,0.00018,1.00,1.00
1204,0.03507,0.00018,1.00,1.00
1216,0.02628,0.00001,1.00,1.00
1228,0.02628,0.00001,1.00,1.00
1241,0.00333,0.00001,1.00,1.00
1254,0.00333,0.00001,1.00,1.00
1266,0.00333,0.00001,1.00,1.00
1277,0.00082,0.00000,1.00,1.00
1289,0.00082,0.00000,1.00,1.00
1301,0.00076,0.00000,1.00,1.00
1315,0.00076,0.00000,1.00,1.00
1327,0.00035,0.00000,1.00,1.00
1341,0.00035,0.00000,1.00,1.00
1354,0.01089,0.00000,1.00,1.00
1367,0.01089,0.00000,1.00,1.00
1380,0.01227,0.00000,1.00,1.00
1392,0.01227,0.00000,1.00,1.00
1409,0.01727,0.00000,1.00,1.00
1422,0.01727,0.00000,1.00,1.00
1434,0.03627,0.00000,1.00,1.00
1446,0.03627,0.00000,1.00,1.00
1457,0.03627,0.00000,1.00,1.00
1469,0.05394,0.00000,1.00,1.00
1482,0.05394,0.00000,1.00,1.00
1494,0.03671,0.00000,1.00,1.00
1507,0.03671,0.00000,1.00,1.00
1521,0.03239,0.00000,1.00,1.00
1534,0.03239,0.00000,1.00,1.00
1546,0.04326,0.00000,1.00,1.00
1558,0.04326,0.00000,1.00,1.00
1570,0.04326,0.00000,1.00,1.00
1580,0.04567,0.00000,1.00,1.00
1594,0.04567,0.00000,1.00,1.00
1606,0.04625,0.00000,1.00,1.00
1619,0.04625,0.00000,1.00,1.00
1634,0.04641,0.00000,1.00,1.00
1648,0.04641,0.00000,1.00,1.00
1661,0.03886,0.00000,1.00,1.00
1673,0.03886,0.00000,1.00,1.00
1687,0.03886,0.00000,1.00,1.00
1698,0.04688,0.00000,1.00,1.00
1711,0.04025,0.00000,1.00,1.00
1724,0.04025,0.00000,1.00,1.00
1734,0.04025,0.00000,1.00,1.00
1745,0.03653,0.00000,1.00,1.00
1758,0.03653,0.00000,1.00,1.00
1773,0.05791,0.00000,1.00,1.00
1786,0.05791,0.00000,1.00,1.00
1799,0.13490,0.00007,1.00,1.00
1812,0.13490,0.00007,1.00,1.00
1824,0.24235,0.00203,1.00,1.00
1837,0.24235,0.00203,1.00,1.00
1849,0.24235,0.00203,1.00,1.00
1862,0.28069,0.07853,1.00,1.00
1874,0.28069,0.07853,1.00,1.00
1888,0.28970,0.10242,1.00,1.00
1901,0.28970,0.10242,1.00,1.00
1913,0.28970,0.10242,1.00,1.00
1926,0.16059,0.01334,1.00,1.00
1941,0.06990,0.00490,1.00,1.00
1954,0.06990,0.00490,1.00,1.00
1968,0.00938,0.00011,1.00,1.00
1981,0.00938,0.00011,1.00,1.00
1993,0.00003,0.00002,1.00,1.00
2006,0.00003,0.00002,1.00,1.00
2019,0.00003,0.00002,1.00,1.00
2033,0.00087,0.00001,1.00,1.00
2045,0.00000,0.00100,1.00,1.00
2058,0.00000,0.00100,1.00,1.00
2070,0.00000,0.00100,1.00,1.00
2084,0.01389,0.00000,1.00,1.00
2097,0.01389,0.00000,1.00,1.00
2110,0.00128,0.00000,1.00,1.00
2123,0.00128,0.00000,1.00,1.00
2136,0.00013,0.00000,1.00,1.00
2149,0.00013,0.00000,1.00,1.00
2161,0.00001,0.00000,1.00,1.00
2174,0.00001,0.00000,1.00,1.00
2185,0.00000,0.00000,1.00,1.00
2199,0.00000,0.00000,1.00,1.00
2213,0.00000,0.00000,1.00,1.00
2225,0.00000,0.00000,1.00,1.00
2238,0.00000,0.00000,1.00,1.00
2252,0.00000,0.00000,1.00,1.00
2265,0.00000,0.00000,1.00,1.00
2278,0.00000,0.00000,1.00,1.00
2291,0.00000,0.00000,1.00,1.00
2303,0.00000,0.00000,1.00,1.00
2317,0.00000,0.00000,1.00,1.00
2330,0.00000,0.00000,1.00,1.00
2343,0.00000,0.00000,1.00,1.00
2356,0.00000,0.00000,1.00,1.00
2369,0.00000,0.00000,1.00,1.00
